intent,promote to,promote at,deadline,seed,sla_breaches,sla_breaches_as_submitted,cloud_hours,local_hours,drained_hours,mean_wait_s,p95_wait_s,jobs_reprioritised,overload_decisions,accepted_breach_cycles,events,exposing_events,exposing_high_events,ttl_exposing_mean_s,ttl_exposing_p95_s,ttl_exposing_max_s,ttl_exposing_high_mean_s,ttl_all_mean_s,ttl_all_p95_s,ttp_exposing_mean_s,ttp_exposing_p95_s,ttp_all_mean_s,exposing_ever_decayed,exposing_promoted,decayed_events,promoted_events,harmless_kept_events
both,to 400,at very-high,from arrival,505,1521,1885,60.3,32.6,8.72,2705.6,16447.2,5900,37,60,721,6,0,97.5,417.6,417.6,,79.5,390.7,365.0,799.0,5271.0,0,0,657,0,57
both,to 400,at very-high,from arrival,606,919,1397,62.2,29.9,6.25,1700.4,10518.9,4798,25,71,690,16,1,68.6,374.8,374.8,29.9,60.3,328.8,1218.9,11862.2,3360.0,4,0,600,0,74
both,to 400,at very-high,from the change,101,736,1620,60.8,28.9,10.6,3057.2,22251.4,5389,27,5,688,11,0,75.7,388.8,388.8,,68.6,357.3,2193.5,19549.6,6044.1,2,0,624,0,44
both,to 400,at very-high,from the change,202,1616,2247,53.4,32.7,14.74,5256.9,37543.3,4189,43,4,708,44,1,97.7,434.4,460.3,29.0,95.3,435.3,1891.6,3439.2,9398.6,4,0,422,0,244
both,to 400,at very-high,from the change,303,995,1829,53.6,29.7,12.09,3672.8,27955.2,5381,31,0,685,9,0,67.5,359.7,359.7,,80.9,381.4,1490.9,11314.9,7688.1,1,0,634,0,42
both,to 400,at very-high,from the change,404,470,968,61.3,29.8,10.72,2801.4,22635.7,4166,26,0,701,43,0,46.3,123.9,649.5,,63.2,331.9,1485.6,911.2,5349.8,2,0,476,0,182
both,to 400,at very-high,from the change,505,1004,2217,60.3,32.6,15.0,5365.2,36953.9,5841,36,1,721,6,0,97.5,417.6,417.6,,78.8,388.1,337.5,754.0,10886.3,0,0,655,0,59
both,to 400,at very-high,from the change,606,656,1391,62.2,29.9,10.83,2929.1,19952.2,4754,24,2,690,16,1,68.6,374.8,374.8,29.9,59.6,327.2,2612.1,18222.2,6158.1,5,0,595,0,79
both,to 100,at high,from arrival,101,2545,2255,65.8,23.9,3.25,822.1,2945.3,5537,62,38,688,11,0,104.4,410.5,410.5,,116.4,644.6,756.2,3454.6,1414.7,3,6,616,101,54
both,to 100,at high,from arrival,202,4180,2796,64.2,22.0,2.71,766.1,2945.3,5775,87,44,708,44,1,197.3,869.4,925.3,29.0,208.9,882.8,538.2,1457.1,1148.0,5,25,375,261,289
both,to 100,at high,from arrival,303,2194,1982,68.0,20.0,2.18,559.4,1917.5,4917,39,42,685,9,0,72.5,374.7,374.7,,91.9,411.9,435.9,1924.9,934.4,1,3,619,85,52
both,to 100,at high,from arrival,404,2148,1663,65.0,26.7,3.75,964.7,4958.3,4857,47,72,701,43,0,57.1,162.4,859.5,,90.7,474.7,619.8,3449.6,1688.8,6,19,470,151,191
both,to 100,at high,from arrival,505,2875,2372,76.9,19.5,2.08,629.4,2279.9,5447,66,31,721,6,0,110.0,462.6,462.6,,95.1,434.9,350.0,859.0,986.0,0,2,637,140,72
both,to 100,at high,from arrival,606,1624,1667,82.9,19.5,2.0,675.6,3251.7,4364,43,30,690,16,1,80.8,419.8,419.8,29.9,68.9,370.3,314.3,1316.8,1158.8,4,7,587,78,81
both,to 100,at high,from the change,101,1674,2176,65.1,24.7,4.95,1062.4,4654.1,5611,59,14,688,11,0,100.3,403.8,403.8,,107.1,547.2,855.7,3769.6,1822.9,3,6,610,116,59
both,to 100,at high,from the change,202,3129,2851,73.5,18.2,2.09,569.1,2068.4,5277,84,0,708,44,1,171.4,869.4,910.3,29.0,184.4,871.9,526.2,1617.8,821.9,5,24,371,251,290
both,to 100,at high,from the change,303,1229,1983,54.9,28.3,8.14,1994.3,10321.4,5582,32,23,685,9,0,75.9,389.7,389.7,,88.5,398.2,784.2,5299.9,4032.0,1,2,632,126,45
both,to 100,at high,from the change,404,1129,1531,74.1,19.5,2.0,750.0,3720.6,4685,41,4,701,43,0,49.4,147.4,799.5,,87.9,472.1,388.2,2418.9,1276.6,5,19,464,154,195
both,to 100,at high,from the change,505,2121,2362,76.8,19.4,2.08,630.9,2278.6,5426,60,0,721,6,0,110.0,462.6,462.6,,92.5,433.1,345.0,852.6,999.3,0,1,635,140,74
both,to 100,at high,from the change,606,1087,1648,83.8,19.4,2.0,683.5,3264.1,4483,41,0,690,16,1,81.8,419.8,419.8,29.9,68.5,369.2,401.4,2441.8,1185.5,4,7,590,88,79
both,to 100,at very-high,from arrival,101,1367,1807,60.8,29.0,7.88,2047.6,13535.6,5406,42,32,688,11,0,71.6,388.8,388.8,,76.0,377.7,1860.7,12634.6,3783.7,2,0,630,0,38
both,to 100,at very-high,from arrival,202,1790,2106,53.0,33.1,11.03,3317.6,24152.4,4282,43,50,708,44,1,97.0,434.4,460.3,29.0,96.1,435.3,1338.6,6724.2,5619.4,4,0,433,0,233
both,to 100,at very-high,from arrival,303,1435,1826,53.6,29.7,6.48,1731.4,8282.4,5414,32,64,685,9,0,67.5,359.7,359.7,,83.9,383.6,1019.2,6319.9,3402.4,1,0,639,0,37
both,to 100,at very-high,from arrival,404,651,966,61.3,29.8,5.49,1500.1,9744.2,4120,27,47,701,43,0,50.5,123.9,814.5,,64.6,339.7,873.4,1046.2,2703.1,3,0,471,0,187
both,to 100,at very-high,from arrival,505,1521,1885,60.3,32.6,8.72,2705.6,16447.2,5900,37,60,721,6,0,97.5,417.6,417.6,,79.5,390.7,365.0,799.0,5271.0,0,0,657,0,57
both,to 100,at very-high,from arrival,606,919,1397,62.2,29.9,6.25,1700.4,10518.9,4798,25,71,690,16,1,68.6,374.8,374.8,29.9,60.3,328.8,1218.9,11862.2,3360.0,4,0,600,0,74
both,to 100,at very-high,from the change,101,736,1620,60.8,28.9,10.6,3057.2,22251.4,5389,27,5,688,11,0,75.7,388.8,388.8,,68.6,357.3,2193.5,19549.6,6044.1,2,0,624,0,44
both,to 100,at very-high,from the change,202,1616,2247,53.4,32.7,14.74,5256.9,37543.3,4189,43,4,708,44,1,97.7,434.4,460.3,29.0,95.3,435.3,1891.6,3439.2,9398.6,4,0,422,0,244
both,to 100,at very-high,from the change,303,995,1829,53.6,29.7,12.09,3672.8,27955.2,5381,31,0,685,9,0,67.5,359.7,359.7,,80.9,381.4,1490.9,11314.9,7688.1,1,0,634,0,42
both,to 100,at very-high,from the change,404,470,968,61.3,29.8,10.72,2801.4,22635.7,4166,26,0,701,43,0,46.3,123.9,649.5,,63.2,331.9,1485.6,911.2,5349.8,2,0,476,0,182
both,to 100,at very-high,from the change,505,1004,2217,60.3,32.6,15.0,5365.2,36953.9,5841,36,1,721,6,0,97.5,417.6,417.6,,78.8,388.1,337.5,754.0,10886.3,0,0,655,0,59
both,to 100,at very-high,from the change,606,656,1391,62.2,29.9,10.83,2929.1,19952.2,4754,24,2,690,16,1,68.6,374.8,374.8,29.9,59.6,327.2,2612.1,18222.2,6158.1,5,0,595,0,79
