intent,seed,sla_breaches,sla_breaches_as_submitted,cloud_hours,local_hours,drained_hours,mean_wait_s,p95_wait_s,jobs_reprioritised,overload_decisions,accepted_breach_cycles,events,exposing_events,exposing_high_events,ttl_exposing_mean_s,ttl_exposing_p95_s,ttl_exposing_max_s,ttl_exposing_high_mean_s,ttl_all_mean_s,ttl_all_p95_s,ttp_exposing_mean_s,ttp_exposing_p95_s,ttp_all_mean_s,exposing_ever_decayed,exposing_promoted,decayed_events,promoted_events,harmless_kept_events
"off, decay at the burst",303,1435,1826,53.6,29.7,6.48,1731.4,8282.4,5374,32,64,685,9,0,67.5,359.7,359.7,,83.9,383.6,1019.2,6319.9,3402.4,1,0,614,0,36
"off, decay at the burst",404,651,966,61.3,29.8,5.49,1500.1,9744.2,4062,27,47,701,43,0,50.5,123.9,814.5,,64.6,339.7,873.8,1046.2,2703.1,3,0,439,0,180
"off, decay at the burst",505,1521,1885,60.3,32.6,8.72,2705.6,16447.2,5851,37,60,721,6,0,97.5,417.6,417.6,,79.5,390.7,365.0,799.0,5271.1,0,0,633,0,49
"off, decay at the burst",606,919,1397,62.2,29.9,6.25,1700.4,10518.9,4778,25,71,690,16,1,68.6,374.8,374.8,29.9,60.3,328.8,1218.9,11862.2,3360.0,4,0,582,0,68
"decay, off at the burst",101,1733,1733,63.4,26.4,8.09,1778.2,10667.6,51,51,0,688,11,0,88.0,373.8,373.8,,94.5,456.6,3302.1,18716.1,3445.1,0,0,22,0,8
"decay, off at the burst",202,2109,2109,56.7,29.5,12.5,3767.1,26511.9,24,56,0,708,44,1,104.5,467.1,518.7,29.0,144.7,495.9,4864.0,21729.0,7281.4,0,0,20,0,1
"decay, off at the burst",303,1817,1817,56.6,26.7,9.19,2214.9,14963.1,40,53,0,685,9,0,69.2,359.7,359.7,,136.5,480.8,3140.9,12425.4,4261.4,0,0,26,0,1
"decay, off at the burst",404,950,950,61.5,29.7,10.64,2758.4,19706.9,58,40,0,701,43,0,77.0,177.4,1684.5,,78.9,383.5,6837.1,29709.9,5518.4,0,0,32,0,7
"decay, off at the burst",505,2119,2119,64.8,28.0,10.47,2749.0,19533.0,49,65,0,721,6,0,110.0,417.6,417.6,,198.8,479.5,6335.0,28450.0,5512.8,0,0,24,0,8
"decay, off at the burst",606,1391,1391,63.5,28.6,10.15,2553.0,18451.7,20,44,0,690,16,1,71.4,404.8,404.8,29.9,132.0,408.7,5669.3,25986.0,5139.5,0,0,18,0,6
"decay, both at the burst",101,2643,2255,65.8,23.9,3.25,822.1,2945.3,5537,62,39,688,11,0,104.4,410.5,410.5,,116.4,644.6,756.2,3454.6,1414.7,3,5,616,96,54
"decay, both at the burst",202,4692,2785,71.5,17.8,2.0,689.6,2857.6,5559,88,45,708,44,1,200.7,887.1,925.3,29.0,210.2,898.1,584.5,2033.7,1017.1,6,25,368,261,295
"decay, both at the burst",303,2231,1982,68.0,20.0,2.18,558.6,1902.5,4928,39,42,685,9,0,74.2,374.7,374.7,,91.9,411.9,432.5,1894.9,932.2,1,3,622,85,49
"decay, both at the burst",404,2440,1651,65.3,25.8,3.92,1005.5,4993.2,4844,45,78,701,43,0,57.5,162.4,859.5,,90.7,474.7,651.5,3449.6,1772.6,6,17,470,145,191
"decay, both at the burst",505,3030,2374,76.8,19.5,2.08,629.1,2278.4,5436,65,31,721,6,0,110.0,462.6,462.6,,95.0,434.9,350.0,859.0,983.6,0,2,637,137,72
"decay, both at the burst",606,1762,1739,82.6,19.5,2.0,690.5,3273.8,4401,46,28,690,16,1,83.6,434.8,434.8,29.9,73.1,385.3,316.1,1316.8,1181.2,4,7,591,73,78
"both at the burst, decay after",101,2507,2224,65.8,23.9,4.06,870.4,3186.6,5504,62,23,688,11,0,103.0,410.5,410.5,,115.2,644.6,767.1,3574.6,1511.6,3,3,619,81,51
"both at the burst, decay after",202,4412,2803,64.3,21.9,2.82,795.7,3098.0,5514,87,32,708,44,1,199.0,887.1,925.3,29.0,210.0,898.1,591.4,2033.7,1197.5,6,19,376,182,289
"both at the burst, decay after",303,2227,1982,68.0,20.0,2.2,559.4,1902.5,4917,39,43,685,9,0,74.2,374.7,374.7,,91.9,411.9,432.5,1894.9,933.8,1,2,622,77,49
"both at the burst, decay after",404,2101,1685,60.8,30.3,5.35,1505.8,8871.7,4933,45,60,701,43,0,56.1,162.4,859.5,,89.7,474.7,977.7,3809.6,2689.6,6,9,475,77,186
"both at the burst, decay after",505,2930,2373,76.8,19.5,2.08,629.1,2280.9,5363,65,29,721,6,0,110.0,462.6,462.6,,95.0,434.9,350.0,859.0,986.5,0,1,637,111,72
"both at the burst, decay after",606,1495,1735,61.8,30.3,6.51,1789.7,11732.2,4985,34,77,690,16,1,80.8,434.8,434.8,29.9,75.0,385.3,1075.5,11967.2,3504.0,4,5,596,28,78
