day,intent,seed,sla_breaches,sla_breaches_as_submitted,cloud_hours,local_hours,drained_hours,mean_wait_s,p95_wait_s,jobs_reprioritised,overload_decisions,accepted_breach_cycles,events,exposing_events,exposing_high_events,ttl_exposing_mean_s,ttl_exposing_p95_s,ttl_exposing_max_s,ttl_exposing_high_mean_s,ttl_all_mean_s,ttl_all_p95_s,ttp_exposing_mean_s,ttp_exposing_p95_s,ttp_all_mean_s,exposing_ever_decayed,exposing_promoted,decayed_events,promoted_events,harmless_kept_events,turn-back.decisions,turn-back.in_time_share,turn-back.never,turn-back.unwinnable,turn-back.latency_p50_s,turn-back.slack_p50_s,turn-back warned.decisions,turn-back warned.in_time_share,turn-back warned.never,turn-back warned.unwinnable,turn-back warned.latency_p50_s,turn-back warned.slack_p50_s,way-out.decisions,way-out.in_time_share,way-out.never,way-out.unwinnable,way-out.latency_p50_s,way-out.slack_p50_s,way-out warned.decisions,way-out warned.in_time_share,way-out warned.never,way-out warned.unwinnable,way-out warned.latency_p50_s,way-out warned.slack_p50_s,reroute.decisions,reroute.in_time_share,reroute.never,reroute.unwinnable,reroute.latency_p50_s,reroute.slack_p50_s,reroute warned.decisions,reroute warned.in_time_share,reroute warned.never,reroute warned.unwinnable,reroute warned.latency_p50_s,reroute warned.slack_p50_s,machines.decisions,machines.in_time_share,machines.never,machines.unwinnable,machines.latency_p50_s,machines.slack_p50_s
workday,"decay, oracle",303,2949,12100,36.9,282.2,24.59,2365.9,9749.5,24810,0,283,2206,70,0,31.7,52.3,59.2,,823.2,7848.7,127.1,352.3,3518.0,0,0,2039,0,97,751,0.9307589880159787,0,21,32.277,654.625628506,751,0.8881491344873502,7,21,43.797,470.486520847,104,0.7211538461538461,0,15,31.109,390.579333114,104,0.6923076923076923,0,15,34.913,390.579333114,751,0.8149134487350199,0,114,32.277,628.5,751,0.758988015978695,7,114,43.797,471.2,149,0.8926174496644296,0,7,30.262,730.527240481
workday,"decay, oracle",404,2678,12204,38.0,278.2,24.0,2064.0,8701.5,25139,0,217,2212,55,0,31.9,70.4,109.2,,771.9,6770.8,112.6,244.2,3050.0,0,0,2059,0,98,741,0.941970310391363,0,26,28.888,726.0127643,741,0.9176788124156545,6,26,42.13,562.289148607,62,0.6129032258064516,0,17,26.837,469.062731279,62,0.6129032258064516,1,17,32.648,469.062731279,741,0.8245614035087719,0,107,28.888,702.5,741,0.7813765182186235,6,107,42.13,561.9,161,0.9440993788819876,0,6,34.182,806.801182579
rock burst,off,101,6780,6780,125.9,306.0,48.08,7784.6,46445.2,0,210,0,2986,57,0,60.8,151.0,704.7,,144.6,1079.4,27012.4,71126,28586.0,0,0,0,0,0,685,0.9430656934306569,0,14,35.468,731.123116822,685,0.6554744525547446,1,14,75.643,730.878473736,79,0.7215189873417721,0,11,44.43,753.197577785,79,0.6455696202531646,0,11,53.587,825.67936878,685,0.8423357664233576,0,88,35.468,708.4,685,0.5854014598540146,1,88,75.643,679.3,139,0.935251798561151,0,3,34.473,606.927622594
rock burst,off,202,6682,6682,134.4,309.3,48.25,7616.4,48307.1,0,204,0,3086,75,0,104.7,659.3,1344.4,,128.9,986.4,32281.3,86545.1,27863.4,0,0,0,0,0,810,0.9222222222222223,0,14,35.594,792.265305435,810,0.6666666666666666,2,14,60.926,768.005405027,116,0.8189655172413793,0,13,33.899,490.408326208,116,0.6810344827586207,1,13,36.945,589.980144421,810,0.8148148148148148,0,118,35.594,744.4,810,0.5950617283950618,2,118,60.926,724.8,146,0.9041095890410958,0,4,36.342,819.626262454
rock burst,off,303,6010,6010,145.8,305.9,46.65,6325.1,29144.9,0,195,0,3103,76,1,95.3,685.9,1051.4,1051.4,131.9,940.0,20947.3,72652.5,23134.7,0,0,0,0,0,786,0.9122137404580153,0,18,37.868,772.97847374,786,0.6717557251908397,3,18,63.637,761.238931221,101,0.6534653465346535,0,16,43.546,661.56428513,101,0.5544554455445545,0,16,44.761,756.128350507,786,0.8129770992366412,0,100,37.868,728.9,786,0.5903307888040712,3,100,63.637,714.6,158,0.9177215189873418,0,4,40.374,675.670066355
rock burst,off,404,5881,5881,128.1,307.8,48.0,7226.9,38602.9,0,189,0,3001,63,0,69.8,177.7,576.0,,124.6,903.8,24118.8,67286.8,26431.4,0,0,0,0,0,795,0.9144654088050315,0,14,36.636,716.364952588,795,0.6742138364779874,7,14,69.672,710.606514962,96,0.71875,0,14,36.316,612.910076111,96,0.5208333333333334,0,14,88.341,738.364937702,795,0.8327044025157233,0,95,36.636,686.4,795,0.620125786163522,7,95,69.672,660.5,159,0.9371069182389937,0,4,37.303,635.395465908
rock burst,decay,101,7040,9949,129.8,301.4,32.78,5073.7,38409.7,18747,134,262,2986,57,0,55.8,159.6,689.7,,89.2,486.1,2716.6,37322.8,11612.8,5,0,2445,0,489,685,0.945985401459854,0,14,34.183,737.796872748,685,0.7664233576642335,1,14,47.021,702.77325089,79,0.7341772151898734,0,11,40.413,743.010620536,79,0.6708860759493671,0,11,42.403,825.67936878,685,0.8437956204379562,0,88,34.183,717.6,685,0.6817518248175183,1,88,47.021,662.4,139,0.9568345323741008,0,3,32.806,605.771877011
rock burst,decay,202,6122,9878,121.6,320.5,44.76,8044.8,57658.5,19442,138,206,3086,75,0,79.5,644.3,886.1,,87.8,456.1,5991.7,53957.9,17351.7,13,0,2571,0,453,810,0.9395061728395062,0,14,33.742,798.924702112,810,0.6839506172839506,2,14,47.926,794.482338305,116,0.8275862068965517,0,13,33.899,490.224191663,116,0.7068965517241379,1,13,36.856,453.807786731,810,0.8308641975308642,0,118,33.742,765.7,810,0.6111111111111112,2,118,47.926,765.7,146,0.9178082191780822,0,4,35.507,835.744493324
rock burst,decay,303,6053,9843,120.7,325.1,43.11,8176.2,55482.1,19005,124,192,3103,76,1,77.7,209.1,886.4,886.4,99.5,731.6,5944.1,54017.4,18148.1,15,0,2536,0,506,786,0.9198473282442748,0,18,35.481,783.469770988,786,0.6870229007633588,4,18,45.476,781.068194438,101,0.6336633663366337,0,16,35.223,765.778560169,101,0.5643564356435643,0,16,44.761,767.531513839,786,0.8206106870229007,0,100,35.481,729.9,786,0.6055979643765903,4,100,45.476,723.6,158,0.9240506329113924,0,4,36.817,692.405648821
rock burst,decay,404,6646,9767,118.1,316.0,39.4,7000.8,52729.6,20017,124,199,3001,63,0,52.2,110.1,569.6,,85.2,548.5,8110.5,48697.5,15964.1,12,0,2623,0,327,795,0.9421383647798742,0,14,35.634,756.485787361,795,0.7320754716981132,7,14,45.727,756.485787361,96,0.75,0,14,35.58,506.046509,96,0.59375,0,14,48.152,612.910076111,795,0.8591194968553459,0,95,35.634,721.7,795,0.6691823899371069,7,95,45.727,722.9,159,0.9433962264150944,0,4,36.199,589.936417175
