day,local cap,cloud cap,seed,sla_breaches,sla_breaches_as_submitted,cloud_hours,local_hours,drained_hours,mean_wait_s,p95_wait_s,jobs_reprioritised,overload_decisions,accepted_breach_cycles,events,exposing_events,exposing_high_events,ttl_exposing_mean_s,ttl_exposing_p95_s,ttl_exposing_max_s,ttl_exposing_high_mean_s,ttl_all_mean_s,ttl_all_p95_s,ttp_exposing_mean_s,ttp_exposing_p95_s,ttp_all_mean_s,exposing_ever_decayed,exposing_promoted,decayed_events,promoted_events,harmless_kept_events
workday,local 12,cloud 200,101,30,30,53.3,278.2,24.05,512.1,3832.7,0,0,0,2242,58,0,52.2,178.0,248.6,,48.3,135.0,1514.4,4691.0,1826.0,0,0,0,0,0
workday,local 12,cloud 200,202,16,16,54.1,277.7,24.0,364.3,2272.7,0,0,0,2165,54,0,44.7,129.5,136.2,,47.0,136.0,1267.5,2961.2,1253.8,0,0,0,0,0
workday,local 12,cloud 200,303,9,9,51.3,276.5,24.01,1136.2,8084.0,0,0,0,2206,70,0,42.0,126.0,142.7,,47.3,140.5,4024.1,8719.1,4074.1,0,0,0,0,0
workday,local 12,cloud 200,404,10,10,57.0,277.0,24.0,549.5,4193.0,0,0,0,2212,55,0,45.5,125.5,199.2,,50.2,135.5,2065.4,5020.4,1943.0,0,0,0,0,0
workday,local 16,cloud 0,101,30,30,0.0,333.0,24.05,991.1,7636.5,0,160,0,2242,58,0,46.5,129.1,218.6,,45.6,124.4,2762.8,8199.1,3625.9,0,0,0,0,0
workday,local 16,cloud 0,202,20,20,0.0,327.3,24.0,661.1,4597.4,0,116,0,2165,54,0,42.2,114.7,129.5,,44.9,116.7,2399.4,4908.7,2370.7,0,0,0,0,0
workday,local 16,cloud 0,303,22,22,0.0,329.5,24.01,1619.2,11209.5,0,129,0,2206,70,0,41.4,102.9,189.8,,46.4,129.8,6000.0,12189.8,5836.3,0,0,0,0,0
workday,local 16,cloud 0,404,89,89,0.0,330.6,24.0,1398.6,10340.4,0,199,0,2212,55,0,48.8,125.4,208.1,,52.2,133.2,5055.3,11670.1,5095.7,0,0,0,0,0
workday,local 16,cloud 20,101,30,30,20.5,332.8,24.05,115.7,548.0,0,0,0,2242,58,0,44.4,129.1,203.6,,42.3,110.4,333.8,835.2,366.3,0,0,0,0,0
workday,local 16,cloud 20,202,15,15,15.5,327.2,24.0,107.7,493.0,0,0,0,2165,54,0,40.0,106.2,129.5,,41.7,106.2,342.2,839.8,341.0,0,0,0,0,0
workday,local 16,cloud 20,303,9,9,17.4,329.1,24.01,341.8,2671.9,0,0,0,2206,70,0,36.0,87.9,104.2,,41.2,108.7,1309.7,4094.2,1184.8,0,0,0,0,0
workday,local 16,cloud 20,404,7,7,20.3,330.3,24.0,131.6,728.7,0,0,0,2212,55,0,39.3,110.5,124.2,,41.9,109.8,403.9,1036.6,422.6,0,0,0,0,0
workday,local 16,cloud 60,101,30,30,20.5,332.8,24.05,115.7,548.0,0,0,0,2242,58,0,44.4,129.1,203.6,,42.3,110.4,333.8,835.2,366.3,0,0,0,0,0
workday,local 16,cloud 60,202,15,15,15.5,327.2,24.0,107.7,493.0,0,0,0,2165,54,0,40.0,106.2,129.5,,41.7,106.2,342.2,839.8,341.0,0,0,0,0,0
workday,local 16,cloud 60,303,9,9,17.4,329.1,24.01,341.8,2671.9,0,0,0,2206,70,0,36.0,87.9,104.2,,41.2,108.7,1309.7,4094.2,1184.8,0,0,0,0,0
workday,local 16,cloud 60,404,7,7,20.3,330.3,24.0,131.6,728.7,0,0,0,2212,55,0,39.3,110.5,124.2,,41.9,109.8,403.9,1036.6,422.6,0,0,0,0,0
workday,local 16,cloud 200,101,30,30,20.5,332.8,24.05,115.7,548.0,0,0,0,2242,58,0,44.4,129.1,203.6,,42.3,110.4,333.8,835.2,366.3,0,0,0,0,0
workday,local 16,cloud 200,202,15,15,15.5,327.2,24.0,107.7,493.0,0,0,0,2165,54,0,40.0,106.2,129.5,,41.7,106.2,342.2,839.8,341.0,0,0,0,0,0
workday,local 16,cloud 200,303,9,9,17.4,329.1,24.01,341.8,2671.9,0,0,0,2206,70,0,36.0,87.9,104.2,,41.2,108.7,1309.7,4094.2,1184.8,0,0,0,0,0
workday,local 16,cloud 200,404,7,7,20.3,330.3,24.0,131.6,728.7,0,0,0,2212,55,0,39.3,110.5,124.2,,41.9,109.8,403.9,1036.6,422.6,0,0,0,0,0
workday,local 24,cloud 0,101,24,24,0.0,372.5,24.05,87.1,414.1,0,2,0,2242,58,0,39.0,112.6,166.7,,39.4,102.7,240.5,784.9,271.7,0,0,0,0,0
workday,local 24,cloud 0,202,15,15,0.0,355.6,24.0,89.3,405.0,0,0,0,2165,54,0,38.3,91.2,129.5,,39.6,101.7,283.3,778.5,279.3,0,0,0,0,0
workday,local 24,cloud 0,303,9,9,0.0,360.4,24.01,91.7,433.2,0,0,0,2206,70,0,32.6,59.2,97.4,,38.3,98.2,282.4,637.4,290.4,0,0,0,0,0
workday,local 24,cloud 0,404,7,7,0.0,366.0,24.0,84.3,377.2,0,0,0,2212,55,0,37.4,95.5,123.8,,38.7,96.3,237.8,557.1,261.3,0,0,0,0,0
workday,local 24,cloud 20,101,24,24,1.0,372.5,24.05,86.9,412.7,0,0,0,2242,58,0,39.0,112.6,166.7,,39.4,102.7,240.2,784.9,271.2,0,0,0,0,0
workday,local 24,cloud 20,202,15,15,0.6,355.6,24.0,88.8,405.0,0,0,0,2165,54,0,38.3,91.2,129.5,,39.5,101.7,283.3,778.5,277.3,0,0,0,0,0
workday,local 24,cloud 20,303,9,9,0.6,360.4,24.01,90.6,428.6,0,0,0,2206,70,0,32.6,59.2,97.4,,38.3,98.2,277.9,571.5,286.4,0,0,0,0,0
workday,local 24,cloud 20,404,7,7,1.0,365.9,24.0,83.5,373.3,0,0,0,2212,55,0,37.1,95.5,123.8,,38.6,96.3,237.5,557.1,258.4,0,0,0,0,0
