areas,mix,intent,seed,sla_breaches,sla_breaches_as_submitted,cloud_hours,local_hours,drained_hours,mean_wait_s,p95_wait_s,jobs_reprioritised,overload_decisions,accepted_breach_cycles,events,exposing_events,exposing_high_events,ttl_exposing_mean_s,ttl_exposing_p95_s,ttl_exposing_max_s,ttl_exposing_high_mean_s,ttl_all_mean_s,ttl_all_p95_s,ttp_exposing_mean_s,ttp_exposing_p95_s,ttp_all_mean_s,exposing_ever_decayed,exposing_promoted,decayed_events,promoted_events,harmless_kept_events,turn-back.decisions,turn-back.in_time_share,turn-back.never,turn-back.unwinnable,turn-back.latency_p50_s,turn-back.slack_p50_s,turn-back warned.decisions,turn-back warned.in_time_share,turn-back warned.never,turn-back warned.unwinnable,turn-back warned.latency_p50_s,turn-back warned.slack_p50_s,way-out.decisions,way-out.in_time_share,way-out.never,way-out.unwinnable,way-out.latency_p50_s,way-out.slack_p50_s,way-out warned.decisions,way-out warned.in_time_share,way-out warned.never,way-out warned.unwinnable,way-out warned.latency_p50_s,way-out warned.slack_p50_s,reroute.decisions,reroute.in_time_share,reroute.never,reroute.unwinnable,reroute.latency_p50_s,reroute.slack_p50_s,reroute warned.decisions,reroute warned.in_time_share,reroute warned.never,reroute warned.unwinnable,reroute warned.latency_p50_s,reroute warned.slack_p50_s,machines.decisions,machines.in_time_share,machines.never,machines.unwinnable,machines.latency_p50_s,machines.slack_p50_s
4 faces,mostly blasting,off,101,799,799,84.1,239.6,24.01,3283.7,20736.0,0,75,0,2138,61,0,46.2,115.7,141.2,,62.0,233.6,11714.2,20872.5,12160.8,0,0,0,0,0,283,0.9363957597173145,0,5,36.939,580.970877476,283,0.5865724381625441,2,5,68.903,584.014144304,222,0.9234234234234234,0,10,40.166,1725.658,222,0.6936936936936937,0,10,44.149,1723.128,283,0.7102473498233216,0,72,36.939,574.9,283,0.42402826855123676,2,72,68.903,575.4,94,0.9148936170212766,0,0,36.937,626.05498489
4 faces,mostly blasting,off,202,3041,3041,90.5,240.6,24.0,4298.3,24789.2,0,146,0,2218,68,0,47.3,117.3,162.9,,73.1,331.9,13948.2,24799.5,15646.5,0,0,0,0,0,115,0.9478260869565217,0,2,38.867,546.314731111,115,0.6086956521739131,1,2,47.59,523.682329574,252,0.9920634920634921,0,0,38.512,1731.488,252,0.8333333333333334,0,0,40.324,1731.101,115,0.8782608695652174,0,10,38.867,533.3,115,0.5565217391304348,1,10,47.59,544.9,36,0.9444444444444444,0,0,38.157,760.690141389
4 faces,mostly blasting,off,303,3156,3156,93.0,240.4,24.02,3838.2,22079.0,0,161,0,2233,78,0,43.4,101.3,147.2,,79.6,352.1,13719.2,22727.2,13867.4,0,0,0,0,0,184,0.9184782608695652,0,5,35.307,587.746060819,184,0.6521739130434783,0,5,49.712,617.337510473,275,0.9709090909090909,0,4,38.423,1725.968,275,0.8290909090909091,0,4,43.435,1724.381,184,0.7554347826086957,0,39,35.307,585,184,0.5652173913043478,0,39,49.712,559.5,94,0.9042553191489362,0,3,33.881,770.229617539
4 faces,mostly blasting,off,404,98,98,89.2,237.4,24.05,2649.5,16134.5,0,53,0,2112,78,0,43.9,107.9,207.2,,63.9,194.1,8867.0,16428.5,9789.6,0,0,0,0,0,116,0.9051724137931034,0,2,38.185,933.551861397,116,0.5948275862068966,0,2,106.403,933.551861397,241,0.983402489626556,0,2,37.537,1732.463,241,0.7634854771784232,0,2,44.952,1731.16,116,0.7327586206896551,0,29,38.185,790.3,116,0.5,0,29,106.403,790.3,90,0.8777777777777778,0,2,37.473,924.503147907
4 faces,mostly blasting,decay,101,1247,3601,84.2,239.9,24.01,3207.7,22692.0,11639,16,109,2138,61,0,38.3,66.9,117.6,,40.3,86.7,2343.4,16593.7,8494.9,11,0,1732,0,356,283,0.9363957597173145,0,5,36.937,610.214096881,283,0.6749116607773852,2,5,50.144,614.014144304,222,0.9234234234234234,0,10,38.028,1728.062,222,0.8153153153153153,0,10,41.605,1727.941,283,0.7173144876325088,0,72,36.937,611.3,283,0.5335689045936396,2,72,50.144,623.4,94,0.9148936170212766,0,0,36.264,655.406395978
4 faces,mostly blasting,decay,202,1531,4355,91.2,243.1,24.0,4150.2,27236.9,12190,54,86,2218,68,0,41.8,82.0,147.9,,41.6,88.2,2255.4,8822.6,10502.0,9,0,1807,0,352,115,0.9478260869565217,0,2,38.157,561.314731111,115,0.7739130434782608,1,2,44.919,535.292456331,252,0.9920634920634921,0,0,37.507,1731.488,252,0.9166666666666666,0,0,40.819,1729.676,115,0.8956521739130435,0,10,38.157,496.9,115,0.7304347826086957,1,10,44.919,458.3,36,0.9444444444444444,0,0,37.16,760.690141389
4 faces,mostly blasting,decay,303,1402,4470,97.9,239.8,24.02,3129.2,20455.9,12632,69,63,2233,78,0,37.3,71.3,93.6,,42.4,93.7,1937.3,16812.1,7618.1,12,0,1796,0,371,184,0.9293478260869565,0,5,33.379,612.029617538,184,0.7119565217391305,0,5,43.731,665.803386719,275,0.9745454545454545,0,4,37.496,1726.918,275,0.8945454545454545,0,4,41.675,1725.391,184,0.7608695652173914,0,39,33.379,587.5,184,0.6086956521739131,0,39,43.731,621.7,94,0.925531914893617,0,3,31.799,727.496304995
4 faces,mostly blasting,decay,404,1170,3579,88.6,239.5,24.05,2694.6,19124.6,10905,32,47,2112,78,0,37.0,70.2,147.2,,40.8,82.3,1684.9,12924.2,6959.8,15,0,1657,0,392,116,0.9224137931034483,0,2,34.698,924.503147907,116,0.7586206896551724,0,2,42.847,878.648554795,241,0.983402489626556,0,2,35.513,1734.016,241,0.8506224066390041,0,2,38.84,1731.356,116,0.7155172413793104,0,29,34.698,820.3,116,0.5862068965517241,0,29,42.847,825.2,90,0.9,0,2,33.543,878.648554795
4 faces,balanced,off,101,45,45,62.8,275.0,24.02,781.8,7205.8,0,11,0,2166,72,2,46.7,111.4,139.4,73.1,45.0,121.2,2040.2,7811.2,2868.6,0,0,0,0,0,260,0.9346153846153846,0,9,34.994,630.454645536,260,0.7076923076923077,2,9,42.588,627.327673541,283,0.9611307420494699,0,6,38.486,1726.966,283,0.8904593639575972,0,6,45.046,1718.899,260,0.6961538461538461,0,68,34.994,684.9,260,0.5269230769230769,2,68,42.588,630.3,92,0.9565217391304348,0,1,30.811,630.454645536
4 faces,balanced,off,202,62,62,65.6,274.8,24.0,1287.2,9347.9,0,5,0,2230,96,0,41.1,111.4,192.4,,47.7,131.3,4691.1,10831.1,4639.8,0,0,0,0,0,127,0.968503937007874,0,1,35.179,753.207914244,127,0.7244094488188977,0,1,44.19,798.202610041,325,0.9907692307692307,0,2,32.101,1736.124,325,0.8830769230769231,0,2,37.891,1734.04,127,0.84251968503937,0,10,35.179,763.3,127,0.6456692913385826,0,10,44.19,798.9,54,0.9629629629629629,0,0,35.969,817.922392907
4 faces,balanced,off,303,19,19,59.5,276.6,24.02,833.4,6973.3,0,0,0,2170,77,1,40.7,98.7,130.6,29.0,44.1,123.0,2254.7,7454.1,2999.5,0,0,0,0,0,189,0.8941798941798942,0,9,35.473,557.5445508,189,0.6402116402116402,2,9,49.546,465.583525762,272,0.9632352941176471,0,5,32.055,1734.143,272,0.8676470588235294,1,5,43.282,1727.533,189,0.6984126984126984,0,49,35.473,505.899999999,189,0.48148148148148145,2,49,49.546,495.5,87,0.896551724137931,0,5,35.56,612.119990759
4 faces,balanced,off,404,7,7,56.0,271.8,24.05,734.2,6404.0,0,0,0,2067,105,1,49.3,147.8,285.3,29.8,45.9,124.5,1626.3,6127.3,2699.6,0,0,0,0,0,126,0.9444444444444444,0,1,36.653,774.605494216,126,0.7301587301587301,0,1,48.031,726.473724192,314,0.9840764331210191,0,4,35.104,1734.896,314,0.89171974522293,0,4,42.237,1727.837,126,0.7936507936507936,0,22,36.653,700.4,126,0.6111111111111112,0,22,48.031,700.4,82,0.9390243902439024,0,1,35.104,654.786136922
4 faces,balanced,decay,101,345,2704,63.3,274.3,24.02,645.1,5418.4,10540,7,15,2166,72,2,37.9,64.4,95.0,73.1,36.8,72.8,233.7,574.3,1714.3,11,0,1694,0,411,260,0.9346153846153846,0,9,32.454,642.327673541,260,0.8,2,9,45.071,622.195991547,283,0.9681978798586572,0,6,37.282,1727.728,283,0.9434628975265018,0,6,42.333,1724.954,260,0.6923076923076923,0,68,32.454,693.3,260,0.5846153846153846,2,68,45.071,670.8,92,0.9565217391304348,0,1,30.811,642.327673541
4 faces,balanced,decay,202,507,3488,65.2,275.0,24.0,1056.0,7919.7,11022,1,28,2230,96,0,36.5,69.9,145.0,,38.5,80.0,740.7,7713.8,2611.1,12,0,1693,0,453,127,0.9606299212598425,0,1,34.14,753.207914244,127,0.7244094488188977,0,1,42.865,786.160034681,325,0.9907692307692307,0,2,31.765,1736.123,325,0.9476923076923077,0,2,36.846,1731.779,127,0.84251968503937,0,10,34.14,764,127,0.6299212598425197,0,10,42.865,788.6,54,0.9444444444444444,0,0,35.608,836.820138144
4 faces,balanced,decay,303,719,3256,56.2,274.9,24.02,1232.3,9329.2,10946,10,60,2170,77,1,36.7,83.7,94.0,29.0,37.7,74.6,632.6,5350.9,3007.4,9,0,1622,0,479,189,0.8994708994708994,0,9,33.687,539.444921856,189,0.7037037037037037,2,9,43.984,532.402221597,272,0.9669117647058824,0,5,29.518,1737.698,272,0.9007352941176471,1,5,34.594,1729.448,189,0.708994708994709,0,49,33.687,505.899999999,189,0.5555555555555556,2,49,43.984,547.9,87,0.9080459770114943,0,5,31.799,632.073698819
4 faces,balanced,decay,404,483,3132,47.0,272.1,24.06,1506.7,11357.5,10126,0,56,2067,105,1,40.5,78.1,240.3,29.8,38.9,78.9,1356.0,9956.6,3687.7,17,0,1527,0,452,126,0.9365079365079365,0,1,31.403,753.26216475,126,0.8015873015873016,0,1,42.866,748.814493992,314,0.9840764331210191,0,4,33.126,1735.276,314,0.8853503184713376,0,4,40.181,1730.033,126,0.7936507936507936,0,22,31.403,700.4,126,0.6507936507936508,0,22,42.866,735.4,82,0.926829268292683,0,1,32.674,660.851856921
