areas,mix,intent,seed,sla_breaches,sla_breaches_as_submitted,cloud_hours,local_hours,drained_hours,mean_wait_s,p95_wait_s,jobs_reprioritised,overload_decisions,accepted_breach_cycles,events,exposing_events,exposing_high_events,ttl_exposing_mean_s,ttl_exposing_p95_s,ttl_exposing_max_s,ttl_exposing_high_mean_s,ttl_all_mean_s,ttl_all_p95_s,ttp_exposing_mean_s,ttp_exposing_p95_s,ttp_all_mean_s,exposing_ever_decayed,exposing_promoted,decayed_events,promoted_events,harmless_kept_events,turn-back.decisions,turn-back.in_time_share,turn-back.never,turn-back.unwinnable,turn-back.latency_p50_s,turn-back.slack_p50_s,turn-back warned.decisions,turn-back warned.in_time_share,turn-back warned.never,turn-back warned.unwinnable,turn-back warned.latency_p50_s,turn-back warned.slack_p50_s,way-out.decisions,way-out.in_time_share,way-out.never,way-out.unwinnable,way-out.latency_p50_s,way-out.slack_p50_s,way-out warned.decisions,way-out warned.in_time_share,way-out warned.never,way-out warned.unwinnable,way-out warned.latency_p50_s,way-out warned.slack_p50_s,reroute.decisions,reroute.in_time_share,reroute.never,reroute.unwinnable,reroute.latency_p50_s,reroute.slack_p50_s,reroute warned.decisions,reroute warned.in_time_share,reroute warned.never,reroute warned.unwinnable,reroute warned.latency_p50_s,reroute warned.slack_p50_s,machines.decisions,machines.in_time_share,machines.never,machines.unwinnable,machines.latency_p50_s,machines.slack_p50_s
8 faces,balanced,off,202,62,62,65.6,274.8,24.0,1287.2,9347.9,0,5,0,2230,95,0,40.9,102.4,192.4,,47.7,131.3,4206.7,10911.6,4639.8,0,0,0,0,0,145,0.9310344827586207,0,1,38.323,672.188291514,145,0.6896551724137931,0,1,65.891,691.219763632,213,0.9765258215962441,0,3,34.973,1733.751,213,0.8685446009389671,0,3,42.865,1727.772,145,0.7931034482758621,0,21,38.323,632.7,145,0.593103448275862,0,21,65.891,631.3,70,0.9571428571428572,0,0,35.494,855.524592233
8 faces,balanced,off,303,19,19,59.5,276.6,24.02,833.4,6973.3,0,0,0,2170,68,0,41.1,98.7,114.4,,44.1,123.0,1802.9,7183.3,2999.5,0,0,0,0,0,268,0.9216417910447762,0,10,32.801,601.046607588,268,0.7014925373134329,1,10,49.727,549.901808629,128,0.9296875,0,4,29.956,1710.182,128,0.7890625,0,4,43.871,1670.778,268,0.7873134328358209,0,44,32.801,536,268,0.585820895522388,1,44,49.727,521.2,90,0.9222222222222223,0,3,32.448,699.072828366
8 faces,balanced,off,404,7,7,56.0,271.8,24.05,734.2,6404.0,0,0,0,2067,104,1,50.9,147.8,285.3,29.8,45.9,124.5,1654.0,6127.3,2699.6,0,0,0,0,0,276,0.9021739130434783,0,12,33.39,474.135121591,276,0.7463768115942029,0,12,42.966,457.872530026,201,0.945273631840796,0,6,39.01,1713.814,201,0.8706467661691543,0,6,43.397,1692.054,276,0.6739130434782609,0,82,33.39,500.4,276,0.5398550724637681,0,82,42.966,525.5,78,0.9358974358974359,0,1,33.471,675.314944042
8 faces,balanced,decay,101,539,3074,56.8,274.1,24.02,1156.9,8459.9,11007,5,50,2166,60,2,43.7,95.0,203.5,73.1,37.5,72.2,965.7,5212.6,2960.6,9,0,1734,0,381,253,0.924901185770751,0,9,33.682,548.117286268,253,0.7193675889328063,1,9,42.333,540.633633163,169,0.9408284023668639,0,5,37.389,1726.54,169,0.8698224852071006,0,5,38.817,1726.39,253,0.7193675889328063,0,65,33.682,550.8,253,0.5652173913043478,1,65,42.333,545.1,98,0.9489795918367347,0,1,34.207,642.327673541
8 faces,balanced,decay,202,653,3785,58.6,275.2,24.0,1801.9,14284.0,11556,1,66,2230,95,0,37.9,80.3,150.7,,39.2,80.3,1042.2,6646.7,4384.0,16,0,1748,0,403,145,0.9379310344827586,0,1,35.223,665.710812637,145,0.7379310344827587,0,1,42.865,691.219763632,213,0.971830985915493,0,3,34.973,1734.04,213,0.9061032863849765,0,3,41.601,1729.767,145,0.8,0,21,35.223,632.7,145,0.6206896551724138,0,21,42.865,668.3,70,0.9714285714285714,0,0,33.189,836.820138144
8 faces,balanced,decay,303,835,3301,56.0,275.1,24.02,1241.1,8861.3,11107,10,66,2170,68,0,35.8,69.4,89.5,,37.6,76.7,737.5,5305.5,3088.3,12,0,1663,0,450,268,0.9291044776119403,0,10,30.907,580.74623419,268,0.7910447761194029,1,10,45.504,569.130423105,128,0.9375,0,4,29.518,1715.241,128,0.8046875,0,4,43.282,1688.245,268,0.7947761194029851,0,44,30.907,536,268,0.6604477611940298,1,44,45.504,506.1,90,0.9333333333333333,0,3,29.146,684.072828366
8 faces,balanced,decay,404,521,2977,52.7,270.7,24.06,1006.8,7836.2,9933,9,30,2067,104,1,43.6,99.3,240.3,29.8,39.1,80.8,627.3,5144.7,2486.2,15,0,1497,0,481,276,0.894927536231884,0,12,30.634,475.80665937,276,0.7753623188405797,0,12,44.54,441.189353009,201,0.945273631840796,0,6,35.617,1721.389,201,0.8905472636815921,0,6,43.33,1698.814,276,0.6739130434782609,0,82,30.634,500.4,276,0.5688405797101449,0,82,44.54,483.8,78,0.9230769230769231,0,1,32.863,690.585860105
8 faces,mostly working,off,101,10,10,49.0,283.5,24.08,319.9,2451.7,0,0,0,2207,78,0,49.6,160.9,237.0,,46.3,127.9,725.1,2504.9,1118.2,0,0,0,0,0,297,0.9393939393939394,0,8,36.949,526.318798327,297,0.7744107744107744,2,8,58.957,493.088257628,222,0.9369369369369369,0,12,36.491,1726.526,222,0.8963963963963963,0,12,41.568,1714.125,297,0.7542087542087542,0,63,36.949,495.4,297,0.6195286195286195,2,63,58.957,477.6,93,0.946236559139785,0,1,36.314,657.011194334
8 faces,mostly working,off,202,23,23,49.4,283.1,24.04,634.2,4255.5,0,0,0,2268,89,0,39.7,99.5,154.1,,47.1,129.7,2347.8,5054.4,2235.5,0,0,0,0,0,145,0.9310344827586207,0,5,35.375,635.938583423,145,0.6896551724137931,1,5,56.081,623.012336825,201,0.9601990049751243,0,5,35.375,1732.029,201,0.9104477611940298,0,5,39.777,1728.469,145,0.7931034482758621,0,27,35.375,696.2,145,0.5862068965517241,1,27,56.081,736.7,84,0.9523809523809523,0,3,33.705,816.957782172
8 faces,mostly working,off,303,19,19,45.9,282.4,24.03,341.9,2844.9,0,0,0,2188,106,0,44.2,110.2,179.7,,44.3,116.5,751.4,2523.3,1205.8,0,0,0,0,0,312,0.9455128205128205,0,6,38.36,589.976297638,312,0.7660256410256411,0,6,57.531,558.013738604,204,0.9068627450980392,0,8,36.182,1725.533,204,0.8774509803921569,0,8,41.346,1651.023,312,0.8237179487179487,0,48,38.36,602.3,312,0.6666666666666666,0,48,57.531,520.9,77,0.961038961038961,0,2,39.079,820.80911256
8 faces,mostly working,off,404,7,7,40.3,283.5,24.05,221.1,1544.6,0,0,0,2072,123,0,45.3,114.0,217.5,,44.3,114.0,357.2,1342.4,742.8,0,0,0,0,0,298,0.9228187919463087,0,5,35.398,377.195798391,298,0.8053691275167785,1,5,42.487,352.066855126,234,0.9273504273504274,0,12,36.936,1719.398,234,0.8846153846153846,1,12,42.911,1645.826,298,0.7214765100671141,0,76,35.398,414,298,0.6375838926174496,1,76,42.487,385.9,84,0.9166666666666666,0,0,34.842,665.966463623
8 faces,mostly working,decay,101,304,3490,41.0,283.6,24.09,577.6,4779.5,11411,0,13,2207,78,0,39.4,87.0,161.4,,38.2,81.1,374.0,1777.6,1405.6,7,0,1679,0,457,297,0.9427609427609428,0,8,36.754,541.010236519,297,0.7643097643097643,3,8,43.897,539.115440636,222,0.9324324324324325,0,12,36.768,1729.145,222,0.8918918918918919,0,12,39.738,1728.366,297,0.7575757575757576,0,63,36.754,511.3,297,0.622895622895623,3,63,43.897,497.1,93,0.956989247311828,0,1,37.515,703.230157825
8 faces,mostly working,decay,202,615,4604,42.3,284.0,24.05,1070.5,7086.4,11923,0,39,2268,89,0,35.0,61.9,109.1,,38.7,81.3,554.1,1284.5,2485.0,11,0,1679,0,511,145,0.9379310344827586,0,5,33.781,623.012336825,145,0.7379310344827587,0,5,44.728,587.036538129,201,0.9601990049751243,0,5,33.268,1734.625,201,0.9104477611940298,0,5,36.868,1729.639,145,0.7931034482758621,0,27,33.781,711.2,145,0.6275862068965518,0,27,44.728,635,84,0.9523809523809523,0,3,32.734,809.483254962
8 faces,mostly working,decay,303,575,3578,37.2,282.2,24.02,832.2,5291.0,10782,0,42,2188,106,0,39.3,86.8,134.7,,37.4,73.7,475.0,1353.7,1990.2,12,0,1566,0,528,312,0.9519230769230769,0,6,36.182,599.417949257,312,0.8044871794871795,0,6,46.766,542.570386674,204,0.9117647058823529,0,8,35.69,1726.75,204,0.8823529411764706,0,8,39.039,1718.41,312,0.8301282051282052,0,48,36.182,602.3,312,0.7147435897435898,0,48,46.766,541.8,77,0.961038961038961,0,2,35.875,867.166780462
8 faces,mostly working,decay,404,210,2894,33.0,283.3,24.05,380.7,3242.2,9595,0,19,2072,123,0,41.9,87.7,170.1,,37.9,76.1,315.8,853.6,899.4,25,0,1372,0,602,298,0.9328859060402684,0,5,33.699,381.619969366,298,0.7651006711409396,1,5,50.029,377.195798391,234,0.9273504273504274,0,12,37.12,1722.096,234,0.8846153846153846,1,12,43.535,1670.996,298,0.7281879194630873,0,76,33.699,401.5,298,0.5838926174496645,1,76,50.029,414,84,0.9404761904761905,0,0,34.298,615.137697145
