jitter,day,intent,seed,sla_breaches,sla_breaches_as_submitted,cloud_hours,local_hours,drained_hours,mean_wait_s,p95_wait_s,jobs_reprioritised,overload_decisions,accepted_breach_cycles,events,exposing_events,exposing_high_events,ttl_exposing_mean_s,ttl_exposing_p95_s,ttl_exposing_max_s,ttl_exposing_high_mean_s,ttl_all_mean_s,ttl_all_p95_s,ttp_exposing_mean_s,ttp_exposing_p95_s,ttp_all_mean_s,exposing_ever_decayed,exposing_promoted,decayed_events,promoted_events,harmless_kept_events,moderate.covered_share,moderate.false_share,moderate.mean_closed_share,moderate.peak_closed_share,moderate.complete_p50_s,moderate.complete_p95_s,moderate.never_complete,moderate wide.covered_share,moderate wide.false_share,moderate wide.mean_closed_share,moderate wide.peak_closed_share,moderate wide.complete_p50_s,moderate wide.complete_p95_s,moderate wide.never_complete,high.covered_share,high.false_share,high.mean_closed_share,high.peak_closed_share,high.complete_p50_s,high.complete_p95_s,high.never_complete,high wide.covered_share,high wide.false_share,high wide.mean_closed_share,high wide.peak_closed_share,high wide.complete_p50_s,high wide.complete_p95_s,high wide.never_complete
jitter 5 ms,earthquake,off,303,25567,25567,358.8,390.5,48.2,16724.1,86391.1,0,761,0,5216,105,2,407.1,3032.8,3214.5,460.2,484.7,3054.0,56457.1,86559.3,60270.4,0,0,0,0,0,0.8267899468534485,0.42907944630356615,0.30731749344118553,1.0000000000000073,0,370.338,143,0.9863871666987208,0.7480643991623781,0.8308557789977676,1.0000000000000162,0,19.173,3,0.9780161598220553,0.7977042557317705,0.06813668141296621,0.8573614523740714,18.326,342.421,4,0.9973803948690332,0.9791736361173378,0.674946062827042,0.9979820816580475,0,52.569,0
jitter 5 ms,earthquake,off,404,26284,26284,369.2,398.9,48.11,17129.8,86409.8,0,756,0,5401,151,4,545.2,3254.3,3352.8,1021.4,457.2,3082.0,64092.2,86642.9,61401.4,0,0,0,0,0,0.8620027347114685,0.4411593300781282,0.35344498134021524,1.0000000000000024,0,386.966,124,0.9868780294903705,0.7416389096276266,0.8752609488001585,1.0000000000000273,0,3.525,2,0.6307051108555055,0.8516064275556672,0.06915665992315154,0.870409367608175,0,670.518,6,0.8817024391541777,0.9800414546357271,0.7188129729945496,0.9946547585253146,0,52.067,0
jitter 5 ms,earthquake,decay,101,18350,22395,345.1,388.6,48.06,16046.4,85343.8,37016,570,528,5167,97,1,53.4,176.0,906.8,29.9,151.0,981.2,7883.1,13213.4,40013.4,9,0,4695,0,384,0.9409997517717088,0.4568244515499595,0.3342704758121504,1.0000000000000127,0,255.142,75,0.9963529268278278,0.7741316949941928,0.851151032591614,0.9999999999999953,0,16.903,1,0.9766891648596562,0.808889966745359,0.07378572063498094,0.7271711794429827,0,566.674,5,0.9975139006347359,0.9795936009617024,0.7057518464480047,0.9689233153283964,0,29.937,0
jitter 5 ms,earthquake,decay,202,20244,24725,348.9,396.8,48.2,18723.2,86474.5,36738,498,204,5249,137,2,198.4,1263.4,1357.5,400.0,166.4,1188.0,24601.4,85312.7,44790.9,24,0,4691,0,445,0.8521164850574084,0.44299311143571524,0.31839119542614047,1.0000000000000007,0,344.83,124,0.9950985039563599,0.7565365175706693,0.8506578067938904,0.9999999999999987,0,16.429,3,0.6354983473687349,0.8894896688726592,0.0631515288226286,0.6384587586272743,0,291.586,6,0.9674649108214535,0.9846118139235625,0.6904307360513763,0.9492269125915894,0,47.455,0
jitter 5 ms,earthquake,decay,303,19528,24333,343.5,403.4,48.12,18451.5,86370.7,37560,499,380,5216,105,2,206.8,1706.1,2078.6,392.7,223.6,1609.1,10717.3,15885.6,42066.0,10,0,4794,0,327,0.8482982196389217,0.4319971678538819,0.3169318076566268,1.0000000000000044,0,324.748,102,0.9863209090305471,0.7497471768690611,0.8363865257156945,1.0000000000000164,0,5.434,4,0.9801746832882677,0.8039527140481383,0.07046352088110833,0.8554152822398327,18.326,237.421,3,0.9972529859107586,0.9794612675913107,0.6843108121800109,0.9979820816580475,0,52.569,0
jitter 5 ms,earthquake,decay,404,21917,26077,382.8,383.3,47.74,17024.8,86199.7,38524,759,157,5401,151,4,330.5,2024.7,2362.8,717.6,277.1,2041.5,38394.8,86066.0,44993.3,25,0,4838,0,437,0.8835842471875264,0.43732934709120364,0.359827938363794,1.0000000000000007,0,388.788,94,0.9888965368040662,0.7429559574609862,0.881545014267637,1.0000000000000222,0,0,1,0.6168166274418061,0.8592266790475999,0.0712949003221114,0.8569593182169103,0,779.999,4,0.8778588196078916,0.9802534953421771,0.7233645052176461,0.993345353734538,0,55.317,0
jitter 20 ms,workday,off,101,30,30,53.3,278.2,24.05,512.1,3832.7,0,0,0,2242,58,0,52.2,178.0,248.6,,48.3,135.0,1514.4,4691.0,1826.0,0,0,0,0,0,0.6400724931051238,0.674850273870111,0.20091251695176218,0.7088115301389132,125.787,1486.986,416,0.9836436486106795,0.8771339273559389,0.8170846250735783,0.9986539095263705,0,70.344,6,0.2172963983903624,0.9974206170038697,0.027876134969859214,0.06790945272620175,148.361,469.737,15,0.9427923154258256,0.9995191549489205,0.6487938828023055,0.8755851873095908,0,1113.56,0
jitter 20 ms,workday,off,202,16,16,50.3,277.7,24.0,364.7,2272.7,0,2,0,2165,54,0,44.7,129.5,136.2,,47.0,136.0,1268.6,2961.2,1255.2,0,0,0,0,0,0.6051057047621533,0.6976252824857617,0.18550001206136557,0.4429237555374387,137.17,1625.176,394,0.984950180668842,0.8889833688184646,0.8224024400875661,0.985172337215529,0,227.627,4,0.24230378581786616,0.9978814832196491,0.02838817743540858,0.06214342868171802,473.887,1087.302,7,0.9506426917096645,0.9996390085599013,0.6536264668860037,0.882574022718311,0,932.797,0
jitter 20 ms,workday,off,303,9,9,51.3,276.5,24.01,1136.2,8084.0,0,0,0,2206,70,0,42.0,126.0,142.7,,47.3,140.5,4024.1,8719.1,4074.1,0,0,0,0,0,0.6245540135769808,0.6512479033603175,0.2163080446391288,0.609481499812187,71.894,1452.328,445,0.9798002708284277,0.8577542467987198,0.8319892999369184,0.9925247360468428,0,132.929,4,0.14742055830400325,0.9987377622554979,0.027106735684620527,0.06287053455566675,352.93,352.93,10,0.8653978086109765,0.9996909263746157,0.6498515764985479,0.8728221486433638,0,322.263,1
jitter 20 ms,workday,off,404,10,10,57.0,277.0,24.0,549.5,4193.0,0,0,0,2212,55,0,45.5,125.5,199.2,,50.2,135.5,2065.4,5020.4,1943.0,0,0,0,0,0,0.6139527478882875,0.7192101614634554,0.18928364107309745,0.5289088446144936,113.246,1482.638,404,0.9795318305128387,0.8956640603215537,0.8127259794861588,0.9867621269443364,0,173.65,6,0.1332306688721141,0.9986681752817802,0.027221657926140317,0.061433128285820135,24.395,723.678,13,0.8408770214332392,0.9996457035867163,0.6458373595918324,0.8840654449772233,0,1226.328,1
