day,local cap,holding,seed,sla_breaches,sla_breaches_as_submitted,cloud_hours,local_hours,drained_hours,mean_wait_s,p95_wait_s,jobs_reprioritised,overload_decisions,accepted_breach_cycles,events,exposing_events,exposing_high_events,ttl_exposing_mean_s,ttl_exposing_p95_s,ttl_exposing_max_s,ttl_exposing_high_mean_s,ttl_all_mean_s,ttl_all_p95_s,ttp_exposing_mean_s,ttp_exposing_p95_s,ttp_all_mean_s,exposing_ever_decayed,exposing_promoted,decayed_events,promoted_events,harmless_kept_events
workday,local 12,local window 0,202,188,188,77.6,226.7,44.16,5404.8,39551.4,0,5,0,2165,54,0,61.9,174.5,205.5,,71.2,196.7,21724.1,70451.3,19453.4,0,0,0,0,0
workday,local 12,local window 0,303,812,812,75.7,234.1,48.33,7400.9,60940.1,0,3,0,2206,70,0,67.5,162.7,313.3,,68.6,196.1,29709.7,86619.5,27240.7,0,0,0,0,0
workday,local 12,local window 0,404,240,240,86.3,223.4,39.95,3985.8,24431.4,0,7,0,2212,55,0,68.7,197.1,229.2,,74.1,198.1,18355.6,54626.8,14803.7,0,0,0,0,0
workday,local 12,local window 60 min,101,26,26,52.3,286.6,24.02,482.8,3621.6,0,0,0,2242,58,0,50.6,178.0,248.6,,46.8,131.5,1459.9,4646.0,1721.2,0,0,0,0,0
workday,local 12,local window 60 min,202,7,7,45.1,284.9,24.0,473.1,3203.7,0,0,0,2165,54,0,43.3,118.8,136.2,,45.8,131.7,1686.6,3885.8,1665.4,0,0,0,0,0
workday,local 12,local window 60 min,303,5,5,50.7,286.2,24.0,1087.0,7941.0,0,0,0,2206,70,0,40.9,126.0,142.7,,45.2,133.2,3852.4,8719.1,3898.1,0,0,0,0,0
workday,local 12,local window 60 min,404,10,10,56.5,286.4,24.0,538.5,4157.3,0,0,0,2212,55,0,42.5,125.5,199.2,,49.0,131.6,2020.9,5020.4,1908.1,0,0,0,0,0
workday,local 24,reference,101,24,24,1.0,372.5,24.05,86.9,412.7,0,0,0,2242,58,0,39.0,112.6,166.7,,39.4,102.7,240.2,784.9,271.2,0,0,0,0,0
workday,local 24,reference,202,15,15,0.6,355.6,24.0,88.8,405.0,0,0,0,2165,54,0,38.3,91.2,129.5,,39.5,101.7,283.3,778.5,277.3,0,0,0,0,0
workday,local 24,reference,303,9,9,0.6,360.4,24.01,90.6,428.6,0,0,0,2206,70,0,32.6,59.2,97.4,,38.3,98.2,277.9,571.5,286.4,0,0,0,0,0
workday,local 24,reference,404,7,7,1.0,365.9,24.0,83.5,373.3,0,0,0,2212,55,0,37.1,95.5,123.8,,38.6,96.3,237.5,557.1,258.4,0,0,0,0,0
workday,local 24,cloud window 0,101,24,24,1.0,372.5,24.05,86.9,412.7,0,0,0,2242,58,0,39.0,112.6,166.7,,39.4,102.7,240.2,784.9,271.2,0,0,0,0,0
