intent,knowledge,seed,sla_breaches,sla_breaches_as_submitted,cloud_hours,local_hours,drained_hours,mean_wait_s,p95_wait_s,jobs_reprioritised,overload_decisions,accepted_breach_cycles,events,exposing_events,exposing_high_events,ttl_exposing_mean_s,ttl_exposing_p95_s,ttl_exposing_max_s,ttl_exposing_high_mean_s,ttl_all_mean_s,ttl_all_p95_s,ttp_exposing_mean_s,ttp_exposing_p95_s,ttp_all_mean_s,exposing_ever_decayed,exposing_promoted,decayed_events,promoted_events,harmless_kept_events
"decay, restored exempt",estimate,101,1367,1807,60.8,29.0,7.88,2047.6,13535.6,5406,42,32,688,11,0,71.6,388.8,388.8,,76.0,377.7,1860.7,12634.6,3783.7,2,0,630,0,38
"decay, restored exempt",estimate,202,1790,2106,53.0,33.1,11.03,3317.6,24152.4,4282,43,50,708,44,1,97.0,434.4,460.3,29.0,96.1,435.3,1338.6,6724.2,5619.4,4,0,433,0,233
"decay, restored exempt",estimate,303,1435,1826,53.6,29.7,6.48,1731.4,8282.4,5414,32,64,685,9,0,67.5,359.7,359.7,,83.9,383.6,1019.2,6319.9,3402.4,1,0,639,0,37
"decay, restored exempt",estimate,404,651,966,61.3,29.8,5.49,1500.1,9744.2,4120,27,47,701,43,0,50.5,123.9,814.5,,64.6,339.7,873.4,1046.2,2703.1,3,0,471,0,187
"decay, restored exempt",estimate,505,1521,1885,60.3,32.6,8.72,2705.6,16447.2,5900,37,60,721,6,0,97.5,417.6,417.6,,79.5,390.7,365.0,799.0,5271.0,0,0,657,0,57
"decay, restored exempt",estimate,606,919,1397,62.2,29.9,6.25,1700.4,10518.9,4798,25,71,690,16,1,68.6,374.8,374.8,29.9,60.3,328.8,1218.9,11862.2,3360.0,4,0,600,0,74
"decay, restored exempt",truth,101,306,1542,61.1,28.6,5.12,1484.5,6282.6,5913,19,44,688,11,0,34.8,148.8,148.8,,414.6,2089.0,133.0,350.5,2525.1,0,0,666,0,11
"decay, restored exempt",truth,202,861,2283,35.3,36.2,13.08,4922.4,29239.9,6619,24,56,708,44,1,93.3,355.3,374.4,29.0,1616.7,6505.5,477.8,719.2,8527.8,0,0,586,0,78
"decay, restored exempt",truth,303,429,2017,36.2,31.6,9.79,3252.8,19178.1,6663,14,53,685,9,0,44.2,254.7,254.7,,1032.1,3033.4,110.9,359.7,5448.4,0,0,666,0,10
"decay, restored exempt",truth,404,462,1984,36.6,33.9,7.46,2555.1,14199.9,6559,12,66,701,43,0,29.9,45.8,314.5,,764.1,2719.7,96.5,288.9,4315.3,0,0,630,0,28
"decay, restored exempt",truth,505,541,2229,36.0,35.4,12.89,4659.5,28788.9,7034,20,50,721,6,0,67.5,267.6,267.6,,1426.2,4893.0,192.5,417.6,8286.9,0,0,693,0,22
"decay, restored exempt",truth,606,162,1908,36.1,33.0,10.54,3283.8,19858.2,6200,14,36,690,16,1,74.3,269.8,269.8,44.9,1228.2,3244.9,257.1,432.2,5583.7,0,0,664,0,10
"decay, clock restarts",estimate,101,736,1620,64.0,26.3,8.04,2883.2,21904.1,5389,31,0,688,11,0,75.7,388.8,388.8,,68.6,357.3,2193.5,19549.6,5681.3,2,0,624,0,44
"decay, clock restarts",estimate,202,1605,2086,65.5,21.0,2.99,1733.4,8165.6,4189,46,0,708,44,1,97.7,434.4,460.3,29.0,95.3,435.3,1102.4,3439.2,2883.3,4,0,422,0,244
"decay, clock restarts",estimate,303,995,1829,53.6,29.7,12.09,3672.8,27955.2,5381,31,0,685,9,0,67.5,359.7,359.7,,80.9,381.4,1490.9,11314.9,7688.1,1,0,634,0,42
"decay, clock restarts",estimate,404,470,968,61.3,29.8,10.72,2801.4,22635.7,4166,26,0,701,43,0,46.3,123.9,649.5,,63.2,331.9,1485.6,911.2,5349.8,2,0,476,0,182
"decay, clock restarts",estimate,505,1004,2217,60.3,32.6,15.0,5365.2,36953.9,5841,36,0,721,6,0,97.5,417.6,417.6,,78.8,388.1,337.5,754.0,10886.3,0,0,655,0,59
"decay, clock restarts",estimate,606,656,1391,70.4,22.3,3.29,1412.7,8709.3,4754,26,0,690,16,1,68.6,374.8,374.8,29.9,59.6,327.2,1462.7,8730.0,2739.0,5,0,595,0,79
"decay, clock restarts",truth,101,13,1528,67.1,23.0,4.6,1927.7,10203.9,5880,21,0,688,11,0,34.8,148.8,148.8,,507.9,2230.3,133.0,350.5,3432.2,0,0,662,0,15
"decay, clock restarts",truth,202,662,2305,50.8,21.0,3.06,2150.7,7880.2,6454,27,0,708,44,1,92.6,325.3,362.1,29.0,908.8,5462.2,425.7,644.2,3417.4,0,0,575,0,89
