jitter,intent,seed,sla_breaches,sla_breaches_as_submitted,cloud_hours,local_hours,drained_hours,mean_wait_s,p95_wait_s,jobs_reprioritised,overload_decisions,accepted_breach_cycles,events,exposing_events,exposing_high_events,ttl_exposing_mean_s,ttl_exposing_p95_s,ttl_exposing_max_s,ttl_exposing_high_mean_s,ttl_all_mean_s,ttl_all_p95_s,ttp_exposing_mean_s,ttp_exposing_p95_s,ttp_all_mean_s,exposing_ever_decayed,exposing_promoted,decayed_events,promoted_events,harmless_kept_events
jitter 20 ms,"decay, restored exempt",505,1338,1901,60.3,32.6,10.33,3146.0,21181.9,5663,37,59,721,6,0,97.5,417.6,417.6,,79.7,390.7,347.5,844.0,5901.8,2,0,646,0,70
jitter 20 ms,"decay, restored exempt",606,786,1389,62.2,29.9,5.29,1414.0,7178.5,4795,22,50,690,16,1,68.6,374.8,374.8,29.9,58.0,323.1,1724.3,10941.0,2627.0,8,0,622,0,51
jitter 20 ms,"decay, restored exempt, truth",101,306,1542,61.1,28.6,5.12,1484.5,6282.6,5913,19,44,688,11,0,34.8,148.8,148.8,,414.6,2089.0,133.0,350.5,2525.1,0,0,666,0,11
jitter 20 ms,"decay, restored exempt, truth",202,861,2283,35.3,36.2,13.08,4922.4,29239.9,6619,24,56,708,44,1,93.3,355.3,374.4,29.0,1616.7,6505.5,477.8,719.2,8527.8,0,0,586,0,78
jitter 20 ms,"decay, restored exempt, truth",303,429,2017,36.2,31.6,9.79,3252.8,19178.1,6663,14,53,685,9,0,44.2,254.7,254.7,,1032.1,3033.4,110.9,359.7,5448.4,0,0,666,0,10
jitter 20 ms,"decay, restored exempt, truth",404,462,1984,36.6,33.9,7.46,2555.1,14199.9,6559,12,66,701,43,0,29.9,45.8,314.5,,764.1,2719.7,96.5,288.9,4315.3,0,0,630,0,28
jitter 20 ms,"decay, restored exempt, truth",505,541,2229,36.0,35.4,12.89,4659.5,28788.9,7034,20,50,721,6,0,67.5,267.6,267.6,,1426.2,4893.0,192.5,417.6,8286.9,0,0,693,0,22
jitter 20 ms,"decay, restored exempt, truth",606,162,1908,36.1,33.0,10.54,3283.8,19858.2,6200,14,36,690,16,1,74.3,269.8,269.8,44.9,1228.2,3244.9,257.1,432.2,5583.7,0,0,664,0,10
jitter 50 ms,off,101,1733,1733,63.4,26.4,8.09,1778.2,10667.6,0,51,0,688,11,0,88.0,373.8,373.8,,94.5,456.6,3302.1,18716.1,3445.1,0,0,0,0,0
jitter 50 ms,off,202,2110,2110,56.7,29.5,12.5,3767.1,26511.9,0,56,0,708,44,1,104.5,467.1,518.7,29.0,144.7,495.9,4864.0,21729.0,7281.4,0,0,0,0,0
jitter 50 ms,off,303,1817,1817,56.6,26.7,9.19,2214.9,14963.1,0,53,0,685,9,0,69.2,359.7,359.7,,136.5,480.8,3140.9,12425.4,4261.3,0,0,0,0,0
jitter 50 ms,off,404,950,950,61.5,29.7,10.64,2758.4,19706.9,0,40,0,701,43,0,77.0,177.4,1684.5,,78.9,383.5,6837.5,29709.9,5518.4,0,0,0,0,0
jitter 50 ms,off,505,2119,2119,64.8,28.0,10.47,2749.0,19533.0,0,65,0,721,6,0,110.0,417.6,417.6,,198.8,479.5,6335.0,28450.0,5512.9,0,0,0,0,0
jitter 50 ms,off,606,1391,1391,63.5,28.6,10.15,2553.0,18451.7,0,44,0,690,16,1,71.4,404.8,404.8,29.9,132.0,408.7,5669.3,25986.0,5139.5,0,0,0,0,0
jitter 50 ms,"decay, restored exempt",101,919,1657,60.8,28.9,7.11,1789.2,9597.9,5151,28,36,688,11,0,63.5,388.8,388.8,,66.1,361.6,1417.5,7744.6,3244.6,5,0,637,0,35
jitter 50 ms,"decay, restored exempt",202,1368,1969,52.9,33.2,11.93,3757.3,26204.5,5265,33,41,708,44,1,92.6,430.3,437.1,29.0,84.0,421.4,4261.6,28314.0,7100.9,32,0,597,0,94
jitter 50 ms,"decay, restored exempt",303,1167,1804,53.6,29.7,6.93,1889.0,9900.8,4941,32,35,685,9,0,64.2,359.7,359.7,,83.3,388.9,414.2,2153.8,3471.3,2,0,619,0,56
jitter 50 ms,"decay, restored exempt",404,484,1052,61.2,29.9,6.99,1698.7,9121.3,4590,24,41,701,43,0,35.1,93.9,329.5,,58.2,328.8,2879.2,9001.9,3177.9,35,0,644,0,46
jitter 50 ms,"decay, restored exempt",505,1204,1906,60.3,32.6,7.31,2303.7,13863.7,5318,37,60,721,6,0,97.5,417.6,417.6,,78.4,393.0,3375.0,17770.0,4215.0,4,0,668,0,50
jitter 50 ms,"decay, restored exempt",606,686,1389,62.2,29.9,6.16,1686.7,8928.6,4572,23,29,690,16,1,69.6,374.8,374.8,29.9,57.4,325.7,1923.0,12041.8,3175.9,8,0,616,0,58
jitter 50 ms,"decay, restored exempt, truth",101,306,1542,61.1,28.6,5.12,1484.5,6282.6,5913,19,44,688,11,0,34.8,148.8,148.8,,414.6,2089.0,133.0,350.5,2525.1,0,0,666,0,11
jitter 50 ms,"decay, restored exempt, truth",202,861,2283,35.3,36.2,13.08,4922.4,29239.9,6619,24,56,708,44,1,93.3,355.3,374.4,29.0,1616.7,6505.5,477.8,719.2,8527.8,0,0,586,0,78
jitter 50 ms,"decay, restored exempt, truth",303,429,2017,36.2,31.6,9.79,3252.8,19178.1,6663,14,53,685,9,0,44.2,254.7,254.7,,1032.1,3033.4,110.9,359.7,5448.4,0,0,666,0,10
jitter 50 ms,"decay, restored exempt, truth",404,462,1984,36.6,33.9,7.46,2555.1,14199.9,6559,12,66,701,43,0,29.9,45.8,314.5,,764.1,2719.7,96.5,288.9,4315.3,0,0,630,0,28
jitter 50 ms,"decay, restored exempt, truth",505,541,2229,36.0,35.4,12.89,4659.5,28788.9,7034,20,50,721,6,0,67.5,267.6,267.6,,1426.2,4893.0,192.5,417.6,8286.9,0,0,693,0,22
jitter 50 ms,"decay, restored exempt, truth",606,162,1908,36.1,33.0,10.54,3283.8,19858.2,6200,14,36,690,16,1,74.3,269.8,269.8,44.9,1228.2,3244.9,257.1,432.2,5583.7,0,0,664,0,10
