workforce,intent,seed,sla_breaches,sla_breaches_as_submitted,cloud_hours,local_hours,drained_hours,mean_wait_s,p95_wait_s,jobs_reprioritised,overload_decisions,accepted_breach_cycles,events,exposing_events,exposing_high_events,ttl_exposing_mean_s,ttl_exposing_p95_s,ttl_exposing_max_s,ttl_exposing_high_mean_s,ttl_all_mean_s,ttl_all_p95_s,ttp_exposing_mean_s,ttp_exposing_p95_s,ttp_all_mean_s,exposing_ever_decayed,exposing_promoted,decayed_events,promoted_events,harmless_kept_events
default crew,"decay, restored exempt",606,919,1397,62.2,29.9,6.25,1700.4,10518.9,4798,25,71,690,16,1,68.6,374.8,374.8,29.9,60.3,328.8,1218.9,11862.2,3360.0,4,0,600,0,74
default crew,"both, exempt",101,2643,2255,65.8,23.9,3.25,822.1,2945.3,5537,62,39,688,11,0,104.4,410.5,410.5,,116.4,644.6,756.2,3454.6,1414.7,3,6,616,101,54
default crew,"both, exempt",202,4692,2785,71.5,17.8,2.0,689.6,2857.6,5559,88,45,708,44,1,200.7,887.1,925.3,29.0,210.2,898.1,584.5,2033.7,1017.1,6,26,368,262,295
default crew,"both, exempt",303,2231,1982,68.0,20.0,2.18,558.6,1902.5,4928,39,42,685,9,0,74.2,374.7,374.7,,91.9,411.9,432.5,1894.9,932.2,1,3,622,85,49
default crew,"both, exempt",404,2480,1656,65.3,26.3,3.92,1005.4,4993.2,4846,47,80,701,43,0,57.5,162.4,859.5,,90.9,474.7,651.2,3449.6,1772.4,6,18,469,151,192
default crew,"both, exempt",505,3043,2374,76.9,19.5,2.08,629.1,2278.4,5448,66,31,721,6,0,110.0,462.6,462.6,,95.1,434.9,350.0,859.0,983.5,0,2,637,140,72
default crew,"both, exempt",606,1762,1739,82.6,19.5,2.0,690.5,3273.8,4401,46,28,690,16,1,83.6,434.8,434.8,29.9,73.1,385.3,316.1,1316.8,1181.2,4,7,591,75,78
large crew,off,101,1733,1733,63.4,26.4,8.09,1778.2,10667.6,0,51,0,688,15,0,80.6,373.8,373.8,,94.5,456.6,3627.6,18716.1,3445.1,0,0,0,0,0
large crew,off,202,2110,2110,56.7,29.5,12.5,3767.1,26511.9,0,56,0,708,91,1,103.2,467.1,528.3,29.0,144.7,495.9,5573.6,24060.1,7281.4,0,0,0,0,0
large crew,off,303,1817,1817,56.6,26.7,9.19,2214.9,14963.1,0,53,0,685,17,0,73.0,466.5,466.5,,136.5,480.8,4978.0,21540.9,4261.3,0,0,0,0,0
large crew,off,404,950,950,61.5,29.7,10.64,2758.4,19706.9,0,40,0,701,55,1,89.8,336.8,1684.5,314.5,78.9,383.5,6122.3,29709.9,5518.4,0,0,0,0,0
large crew,off,505,2119,2119,64.8,28.0,10.47,2749.0,19533.0,0,65,0,721,14,0,151.8,493.7,493.7,,198.8,479.5,9322.1,28924.2,5512.9,0,0,0,0,0
large crew,off,606,1391,1391,63.5,28.6,10.15,2553.0,18451.7,0,44,0,690,30,1,61.2,341.8,404.8,29.9,132.0,408.7,5488.7,25481.2,5139.5,0,0,0,0,0
large crew,"decay, restored exempt",101,1422,1811,60.8,28.9,7.11,1866.9,11018.4,5506,42,44,688,15,0,60.6,388.8,388.8,,76.6,377.7,1415.6,11869.6,3411.5,2,0,596,0,71
large crew,"decay, restored exempt",202,1824,2111,54.4,31.7,12.6,3910.1,29736.7,3256,47,26,708,91,1,93.0,428.7,460.3,29.0,101.8,442.8,2396.0,7538.7,6421.0,8,0,314,0,311
large crew,"decay, restored exempt",303,1493,1796,53.6,29.7,5.68,1584.9,9257.5,5300,34,69,685,17,0,66.8,376.5,376.5,,88.8,392.6,704.8,5904.6,2991.0,1,0,581,0,87
large crew,"decay, restored exempt",404,735,988,61.0,30.1,8.44,1997.9,15185.2,3763,30,32,701,55,1,67.2,336.8,1009.5,329.5,69.6,358.2,1699.5,12253.2,3553.7,8,0,403,0,248
large crew,"decay, restored exempt",505,1840,2086,61.8,31.0,8.8,2305.6,15224.6,5563,53,44,721,14,0,135.7,433.7,433.7,,97.0,431.1,767.8,1401.9,4485.3,1,0,591,0,116
large crew,"decay, restored exempt",606,1082,1358,62.2,29.9,7.53,1759.1,10893.6,4603,27,50,690,30,1,61.2,341.8,374.8,29.9,64.3,343.0,2075.2,15567.2,3478.8,7,0,542,0,122
large crew,"both, exempt",101,2875,2198,66.1,23.7,3.04,784.0,2867.1,5701,63,52,688,15,0,86.6,425.5,425.5,,117.6,655.8,577.6,3454.6,1284.9,2,7,574,143,92
large crew,"both, exempt",202,5771,3008,69.1,19.0,2.36,597.3,2596.6,5718,107,35,708,91,1,243.1,1007.1,1090.3,29.0,249.4,1032.9,561.7,2569.2,842.5,11,63,269,355,355
large crew,"both, exempt",303,2504,2032,67.5,20.2,2.19,561.5,2078.9,4844,45,40,685,17,0,72.1,391.5,391.5,,98.7,422.6,448.9,2109.6,927.1,3,9,559,126,108
large crew,"both, exempt",404,3390,2084,71.7,20.5,2.01,633.5,2907.6,4773,68,62,701,55,1,109.2,614.5,1069.5,614.5,122.6,631.4,559.2,3028.2,1055.9,10,27,370,208,281
large crew,"both, exempt",505,4229,2674,78.6,19.3,2.05,579.5,2168.8,5449,80,37,721,14,0,187.1,703.7,703.7,,160.2,765.1,609.3,1519.0,913.2,1,6,536,207,166
large crew,"both, exempt",606,2421,1882,88.3,19.7,2.0,560.2,2506.6,3916,58,28,690,30,1,74.7,461.8,494.8,29.9,84.5,467.9,523.7,2220.0,936.8,6,12,499,123,159
