intent,lookahead,uncertainty,seed,sla_breaches,sla_breaches_as_submitted,cloud_hours,local_hours,drained_hours,mean_wait_s,p95_wait_s,jobs_reprioritised,overload_decisions,accepted_breach_cycles,events,exposing_events,exposing_high_events,ttl_exposing_mean_s,ttl_exposing_p95_s,ttl_exposing_max_s,ttl_exposing_high_mean_s,ttl_all_mean_s,ttl_all_p95_s,ttp_exposing_mean_s,ttp_exposing_p95_s,ttp_all_mean_s,exposing_ever_decayed,exposing_promoted,decayed_events,promoted_events,harmless_kept_events
"decay, restored exempt",lookahead 120s,±0 m,303,1091,1835,53.6,29.7,10.93,3078.1,21627.1,4795,30,28,685,9,0,65.9,359.7,359.7,,78.3,376.8,2110.9,17344.9,5942.7,1,0,666,0,8
"decay, restored exempt",lookahead 120s,±0 m,404,439,1058,61.0,30.1,8.63,2144.7,14101.4,4626,24,31,701,43,0,32.7,78.9,344.5,,57.6,325.3,1841.8,10537.1,4035.6,21,0,647,0,28
"decay, restored exempt",lookahead 120s,±0 m,505,1103,1861,60.3,32.6,12.05,3783.3,26925.7,5191,35,27,721,6,0,97.5,417.6,417.6,,74.0,360.7,6140.0,35230.0,7497.8,1,0,699,0,14
"decay, restored exempt",lookahead 120s,±0 m,606,605,1379,62.4,29.7,9.08,2294.4,14676.8,4628,20,23,690,16,1,68.6,374.8,374.8,29.9,55.6,306.2,2684.3,15252.2,4541.2,6,0,657,0,15
"decay, restored exempt",lookahead 120s,±50 m,101,1259,1684,60.8,28.9,6.73,1751.9,9174.5,5574,27,48,688,11,0,58.0,388.8,388.8,,65.8,357.3,1369.8,7819.6,3183.4,2,0,650,0,19
"decay, restored exempt",lookahead 120s,±50 m,202,1764,2089,53.2,33.0,9.36,2742.4,17175.0,5132,42,48,708,44,1,97.4,434.4,445.3,29.0,95.6,434.6,1332.5,6844.2,4740.8,4,0,514,0,152
"decay, restored exempt",lookahead 120s,±50 m,303,1456,1848,53.6,29.7,6.54,1656.5,6754.8,5298,32,71,685,9,0,65.9,359.7,359.7,,81.4,381.4,949.2,6439.9,3204.9,1,0,643,0,33
"decay, restored exempt",lookahead 120s,±50 m,404,695,1028,61.2,29.9,5.62,1669.4,10968.6,4474,27,58,701,43,0,48.4,108.9,799.5,,64.9,345.3,916.7,3596.7,3136.5,3,0,512,0,147
"decay, restored exempt",lookahead 120s,±50 m,505,1495,1893,60.3,32.6,7.95,2561.2,16024.5,5641,36,62,721,6,0,97.5,417.6,417.6,,78.1,383.2,322.5,717.6,5060.1,0,0,672,0,40
"decay, restored exempt",lookahead 120s,±50 m,606,921,1436,62.2,29.9,5.58,1536.8,8583.2,4803,25,65,690,16,1,68.6,374.8,374.8,29.9,60.0,328.8,1050.2,9372.2,2944.9,4,0,609,0,63
"decay, restored exempt",lookahead 120s,±150 m,101,1591,1727,62.4,27.3,5.29,1247.7,6758.8,5224,41,45,688,11,0,81.2,388.8,388.8,,80.0,376.6,1078.0,7235.5,2343.0,1,0,561,0,115
"decay, restored exempt",lookahead 120s,±150 m,202,2054,2170,55.7,30.5,8.49,2281.7,12749.7,2074,52,34,708,44,1,101.8,452.1,490.3,29.0,113.4,466.9,2435.0,8275.9,3990.9,1,0,209,0,455
"decay, restored exempt",lookahead 120s,±150 m,303,1807,1883,53.8,29.5,6.67,1739.1,8101.7,4462,42,70,685,9,0,70.9,359.7,359.7,,104.1,450.8,922.5,1378.7,3319.8,0,0,460,0,216
"decay, restored exempt",lookahead 120s,±150 m,404,955,1040,61.2,29.9,6.13,1486.9,6489.9,2486,37,38,701,43,0,68.3,147.4,1414.5,,76.2,376.9,2101.0,6519.9,2705.5,1,0,253,0,404
"decay, restored exempt",lookahead 120s,±150 m,505,1955,1990,60.9,32.0,9.37,2675.7,15051.4,4730,49,50,721,6,0,112.5,417.6,417.6,,147.5,432.6,4852.5,17455.0,5217.5,0,0,481,0,234
"decay, restored exempt",lookahead 120s,±150 m,606,1357,1423,62.3,29.8,7.45,1824.1,10692.7,4132,34,66,690,16,1,69.6,374.8,374.8,29.9,93.7,395.7,2236.1,11061.0,3499.1,2,0,420,0,256
"decay, restored exempt",lookahead 300s,±0 m,101,819,1647,61.0,28.8,8.3,2442.6,13901.5,5148,27,28,688,11,0,63.5,388.8,388.8,,64.7,357.3,1714.8,12169.6,4524.8,3,0,658,0,11
"decay, restored exempt",lookahead 300s,±0 m,202,1255,1963,52.9,33.2,13.23,4407.2,30378.7,5184,34,26,708,44,1,91.9,415.3,437.1,29.0,85.3,411.0,1429.3,3088.4,8251.1,14,0,602,0,70
"decay, restored exempt",lookahead 300s,±0 m,303,1095,1830,53.6,29.7,9.06,2416.4,15148.2,4875,30,26,685,9,0,64.2,359.7,359.7,,78.5,376.8,187.5,629.7,4673.3,0,0,658,0,14
"decay, restored exempt",lookahead 300s,±0 m,404,439,1054,61.1,30.1,8.86,2381.5,15417.9,4580,24,29,701,43,0,32.4,78.9,329.5,,57.7,325.3,2012.7,13492.1,4554.0,21,0,637,0,38
"decay, restored exempt",lookahead 300s,±0 m,505,1115,1843,60.3,32.6,11.77,3639.2,26214.2,5197,35,24,721,6,0,95.0,417.6,417.6,,74.0,363.0,5972.5,34330.0,7431.2,1,0,684,0,29
"decay, restored exempt",lookahead 300s,±0 m,606,582,1359,62.2,29.9,9.55,2404.6,16505.7,4693,20,19,690,16,1,67.7,359.8,359.8,29.9,54.9,305.9,2505.2,17202.2,4638.1,6,0,650,0,20
"decay, restored exempt",lookahead 300s,±50 m,101,1367,1807,60.8,29.0,7.88,2047.6,13535.6,5406,42,32,688,11,0,71.6,388.8,388.8,,76.0,377.7,1860.7,12634.6,3783.7,2,0,630,0,38
"decay, restored exempt",lookahead 300s,±50 m,202,1790,2106,53.0,33.1,11.03,3317.6,24152.4,4282,43,50,708,44,1,97.0,434.4,460.3,29.0,96.1,435.3,1338.6,6724.2,5619.4,4,0,433,0,233
