day,dial,seed,sla_breaches,sla_breaches_as_submitted,cloud_hours,local_hours,drained_hours,mean_wait_s,p95_wait_s,jobs_reprioritised,overload_decisions,accepted_breach_cycles,events,exposing_events,exposing_high_events,ttl_exposing_mean_s,ttl_exposing_p95_s,ttl_exposing_max_s,ttl_exposing_high_mean_s,ttl_all_mean_s,ttl_all_p95_s,ttp_exposing_mean_s,ttp_exposing_p95_s,ttp_all_mean_s,exposing_ever_decayed,exposing_promoted,decayed_events,promoted_events,harmless_kept_events
earthquake,safety 1.0,101,28047,28047,331.5,395.5,48.25,18261.6,86499.2,0,713,0,5167,97,1,162.6,730.5,2916.8,29.9,411.5,2820.5,60612.3,86905.4,66483.5,0,0,0,0,0
earthquake,safety 1.0,202,29234,29234,338.0,401.9,48.27,19008.3,86501.6,0,729,0,5249,137,2,483.9,2981.2,3189.8,422.5,438.6,3032.2,67484.9,86804.8,69073.6,0,0,0,0,0
earthquake,safety 1.0,303,29035,29035,344.9,393.8,48.33,17866.6,86499.3,0,777,0,5216,105,2,418.3,3047.8,3229.5,467.7,500.3,3063.2,59195.7,86637.5,64478.4,0,0,0,0,0
earthquake,safety 1.0,404,31167,31167,350.0,409.7,48.24,18892.3,86520.9,0,759,0,5401,151,4,557.2,3269.3,3352.8,1047.6,469.3,3092.5,74462.2,86961.6,67848.6,0,0,0,0,0
earthquake,safety 1.3,101,21381,21381,373.0,368.7,48.1,13717.4,86218.2,0,696,0,5167,97,1,147.4,700.5,2901.8,29.9,390.6,2789.6,46952.8,86525.6,49701.5,0,0,0,0,0
earthquake,safety 1.3,202,22539,22539,378.9,373.7,48.35,14347.7,86265.8,0,721,0,5249,137,2,461.6,2951.2,3159.8,385.0,417.3,3006.1,48717.7,86504.6,51720.4,0,0,0,0,0
earthquake,safety 1.3,303,23621,23621,381.6,374.0,48.2,14449.4,86230.0,0,758,0,5216,105,2,399.3,3017.8,3202.6,445.2,471.7,3042.1,50313.3,86497.3,51807.6,0,0,0,0,0
earthquake,safety 1.3,404,24062,24062,393.2,381.9,48.11,14747.3,86281.2,0,756,0,5401,151,4,540.5,3254.3,3352.8,1017.6,451.6,3082.0,56465.4,86538.9,52697.1,0,0,0,0,0
earthquake,safety 1.5,101,20200,20200,412.8,337.4,48.14,9376.7,69378.1,0,695,0,5167,97,1,142.9,700.5,2886.8,29.9,384.9,2777.5,32377.9,86391.0,33512.7,0,0,0,0,0
earthquake,safety 1.5,202,20869,20869,418.7,342.4,48.38,10209.0,85342.1,0,720,0,5249,137,2,454.6,2936.2,3144.8,370.0,410.8,2988.3,33119.4,86446.9,36313.8,0,0,0,0,0
earthquake,safety 1.5,303,22019,22019,421.7,341.8,48.2,10306.0,85183.9,0,757,0,5216,105,2,391.5,3002.8,3184.5,415.2,461.2,3024.6,35870.5,86436.6,36466.0,0,0,0,0,0
earthquake,safety 1.5,404,22417,22417,437.0,347.1,48.17,10520.8,85723.2,0,755,0,5401,151,4,534.5,3248.1,3337.8,998.9,446.3,3075.7,39630.5,86548.6,37194.4,0,0,0,0,0
earthquake,horizon 5 min,101,20781,20781,391.5,333.7,48.17,11747.9,86000.4,0,752,0,5167,97,1,159.0,640.5,2841.8,29.9,396.5,2720.9,37751.6,86525.5,42319.2,0,0,0,0,0
earthquake,horizon 5 min,202,22754,22754,389.9,348.2,48.32,12963.0,86257.1,0,773,0,5249,137,2,480.4,2966.2,3189.8,392.5,439.3,3023.8,42995.3,86499.0,46500.9,0,0,0,0,0
earthquake,horizon 5 min,303,23995,23995,391.7,344.2,48.23,13284.9,86209.4,0,832,0,5216,105,2,424.4,3047.8,3229.5,467.7,491.6,3059.8,47490.7,86522.1,47394.2,0,0,0,0,0
earthquake,horizon 5 min,404,24286,24286,411.7,353.8,48.12,13324.6,86292.7,0,788,0,5401,151,4,563.1,3280.5,3367.8,1055.1,474.2,3106.7,51998.9,86551.3,47364.3,0,0,0,0,0
earthquake,horizon 30 min,101,22328,22328,364.6,376.1,48.14,14399.7,86301.9,0,696,0,5167,97,1,149.0,715.5,2901.8,29.9,393.4,2800.0,49639.8,86465.5,52210.9,0,0,0,0,0
earthquake,horizon 30 min,202,23351,23351,372.8,377.6,48.2,14780.6,86301.9,0,722,0,5249,137,2,465.0,2966.2,3174.8,385.0,419.9,3012.5,50796.5,86531.7,53348.5,0,0,0,0,0
earthquake,horizon 30 min,303,24323,24323,373.3,380.4,48.2,15057.2,86310.3,0,759,0,5216,105,2,403.1,3032.8,3214.5,452.7,475.8,3049.4,51891.5,86535.6,54058.9,0,0,0,0,0
earthquake,horizon 30 min,404,24559,24559,384.8,388.0,48.11,15163.3,86330.5,0,757,0,5401,151,4,542.0,3265.5,3352.8,1021.4,453.6,3088.3,58074.8,86583.9,54192.6,0,0,0,0,0
earthquake,horizon 60 min,101,21301,21301,378.5,364.6,48.12,12843.6,86130.1,0,696,0,5167,97,1,146.5,715.5,2901.8,29.9,390.7,2795.9,43452.1,86528.1,46460.4,0,0,0,0,0
earthquake,horizon 60 min,202,22780,22780,384.6,369.3,48.2,13446.0,86199.7,0,722,0,5249,137,2,463.3,2966.2,3174.8,385.0,418.2,3012.5,45253.5,86532.6,48364.2,0,0,0,0,0
earthquake,horizon 60 min,303,23590,23590,385.7,370.9,48.21,13703.5,86181.6,0,759,0,5216,105,2,401.3,3032.8,3214.5,452.7,472.5,3049.4,48520.8,86535.6,49054.3,0,0,0,0,0
earthquake,horizon 60 min,404,23789,23789,399.4,376.1,48.11,13724.8,86247.8,0,756,0,5401,151,4,540.0,3254.3,3352.8,1021.4,451.4,3082.0,52836.1,86583.9,48930.6,0,0,0,0,0
earthquake,step 5 s,101,21727,21727,356.1,381.2,47.99,15815.1,86260.5,0,701,0,5167,97,1,153.1,730.5,2916.8,29.9,398.5,2810.0,55293.6,86466.7,57464.8,0,0,0,0,0
earthquake,step 5 s,202,23478,23478,359.0,387.8,48.13,16727.5,86305.8,0,727,0,5249,137,2,469.6,2966.2,3174.8,392.5,424.4,3017.2,59829.8,86521.0,60594.3,0,0,0,0,0
earthquake,step 5 s,303,23993,23993,364.8,384.6,47.98,16237.4,86310.2,0,762,0,5216,105,2,405.5,3032.8,3214.5,452.7,481.2,3045.1,55361.8,86511.3,58427.2,0,0,0,0,0
earthquake,step 5 s,404,24831,24831,372.2,395.9,47.98,16965.8,86356.2,0,759,0,5401,151,4,544.8,3254.3,3352.8,1017.6,456.6,3082.0,63463.3,86539.4,60794.8,0,0,0,0,0
earthquake,step 60 s,101,30019,30019,337.9,397.1,48.73,17007.4,86533.9,0,696,0,5167,97,1,153.6,730.5,2916.8,29.9,400.4,2812.7,57466.3,86758.6,61868.2,0,0,0,0,0
earthquake,step 60 s,202,31126,31126,342.4,404.0,48.59,17466.1,86525.2,0,721,0,5249,137,2,470.2,2966.2,3174.8,392.5,425.6,3017.3,61738.6,86624.4,63325.8,0,0,0,0,0
earthquake,step 60 s,303,30889,30889,349.0,399.1,48.64,17297.3,86532.0,0,755,0,5216,105,2,408.8,3032.8,3214.5,460.2,489.3,3057.2,57614.4,86670.3,62392.2,0,0,0,0,0
earthquake,step 60 s,404,33075,33075,358.2,409.0,48.58,17563.7,86541.6,0,752,0,5401,151,4,548.6,3271.6,3367.8,1028.9,460.8,3105.7,65785.8,87203.5,62969.9,0,0,0,0,0
earthquake,scale-up step 5,101,23751,23751,345.5,390.3,48.11,16642.4,86387.0,0,703,0,5167,97,1,155.8,760.5,2961.8,29.9,407.7,2852.1,56740.1,86542.2,60492.6,0,0,0,0,0
earthquake,scale-up step 5,202,25272,25272,349.7,396.9,48.32,17217.9,86406.3,0,725,0,5249,137,2,477.4,2996.2,3204.8,415.0,430.7,3043.4,60897.7,86554.5,62383.2,0,0,0,0,0
earthquake,scale-up step 5,303,26136,26136,356.2,393.1,48.23,16951.7,86399.2,0,764,0,5216,105,2,414.0,3072.1,3244.5,482.7,493.9,3084.7,56934.8,86525.8,61086.1,0,0,0,0,0
earthquake,scale-up step 5,404,27079,27079,366.0,402.1,48.11,17361.9,86418.9,0,763,0,5401,151,4,558.9,3329.3,3412.8,1066.4,472.5,3163.3,64930.9,86564.8,62186.6,0,0,0,0,0
earthquake,scale-up step 20,101,23319,23319,348.1,387.6,48.14,16291.1,86380.0,0,699,0,5167,97,1,153.0,730.5,2916.8,29.9,398.9,2810.8,56296.4,86471.7,59230.8,0,0,0,0,0
earthquake,scale-up step 20,202,25086,25086,352.4,394.1,48.32,17033.1,86404.3,0,722,0,5249,137,2,470.1,2966.2,3174.8,392.5,424.9,3017.2,60514.0,86605.3,61725.0,0,0,0,0,0
earthquake,scale-up step 20,303,25567,25567,358.8,390.5,48.2,16724.1,86391.1,0,761,0,5216,105,2,407.1,3032.8,3214.5,460.2,484.7,3054.0,56457.1,86559.3,60270.4,0,0,0,0,0
earthquake,scale-up step 20,404,26542,26542,368.6,399.5,48.11,17205.0,86414.2,0,757,0,5401,151,4,547.2,3269.3,3352.8,1028.9,459.3,3092.5,64379.0,86608.2,61669.4,0,0,0,0,0
earthquake,scale-up cooldown 1 min,101,23735,23735,346.6,388.2,48.12,16626.3,86382.6,0,705,0,5167,97,1,156.2,745.5,2931.8,29.9,404.9,2834.2,56712.0,86600.8,60449.3,0,0,0,0,0
earthquake,scale-up cooldown 1 min,202,25200,25200,349.7,396.3,48.32,17330.8,86408.5,0,724,0,5249,137,2,473.3,2981.2,3189.8,400.0,427.8,3028.0,61164.7,86581.0,62815.1,0,0,0,0,0
earthquake,scale-up cooldown 1 min,303,26350,26350,352.5,395.1,48.2,17363.9,86414.9,0,761,0,5216,105,2,411.8,3047.8,3229.5,475.2,493.0,3066.4,57751.7,86563.4,62629.2,0,0,0,0,0
earthquake,scale-up cooldown 1 min,404,27185,27185,364.1,403.4,48.11,17615.2,86432.4,0,757,0,5401,151,4,547.8,3269.3,3352.8,1028.9,460.1,3092.5,66149.8,86623.2,63158.1,0,0,0,0,0
earthquake,scale-up cooldown 5 min,101,27542,27542,338.4,394.3,48.12,17522.9,86496.8,0,766,0,5167,97,1,175.7,925.5,3141.8,29.9,452.0,3029.2,58781.3,86683.4,63553.5,0,0,0,0,0
earthquake,scale-up cooldown 5 min,202,30281,30281,339.9,403.5,48.32,18932.7,86517.0,0,755,0,5249,137,2,533.0,3176.2,3399.8,617.5,475.0,3246.6,67096.5,86774.6,68647.3,0,0,0,0,0
earthquake,scale-up cooldown 5 min,303,30789,30789,344.7,399.7,48.21,18251.3,86513.9,0,816,0,5216,105,2,467.0,3282.1,3469.5,647.7,550.5,3295.1,60140.3,86628.0,65719.8,0,0,0,0,0
earthquake,scale-up cooldown 5 min,404,30986,30986,362.9,406.4,48.11,18498.9,86541.2,0,802,0,5401,151,4,579.0,3404.3,3472.8,1111.4,493.1,3229.4,72828.5,86856.9,66303.3,0,0,0,0,0
earthquake,local floor 0,101,23940,23940,352.8,382.9,48.17,16487.4,86396.8,0,698,0,5167,97,1,153.0,730.5,2916.8,29.9,398.8,2810.0,56380.9,86518.6,59953.1,0,0,0,0,0
earthquake,local floor 0,202,25872,25872,357.5,389.1,48.13,17240.0,86435.9,0,722,0,5249,137,2,470.0,2966.2,3174.8,392.5,425.0,3017.2,60732.7,86573.0,62480.4,0,0,0,0,0
earthquake,local floor 0,303,26175,26175,363.4,385.9,48.26,16949.3,86420.8,0,761,0,5216,105,2,407.1,3032.8,3214.5,460.2,488.7,3054.0,56913.3,86565.6,61096.9,0,0,0,0,0
earthquake,local floor 0,404,27015,27015,373.6,394.6,48.05,17333.6,86435.4,0,756,0,5401,151,4,545.2,3254.3,3352.8,1021.4,457.2,3082.0,64156.8,86608.2,62137.2,0,0,0,0,0
earthquake,local floor 12,101,19323,19323,340.8,400.2,33.37,10849.5,52923.3,0,700,0,5167,97,1,153.0,715.5,2901.8,29.9,398.2,2809.9,34547.4,53458.7,38850.5,0,0,0,0,0
earthquake,local floor 12,202,20214,20214,340.0,411.9,34.35,11673.7,55269.7,0,724,0,5249,137,2,469.4,2966.2,3174.8,392.5,416.5,3014.5,40985.1,55961.2,41759.4,0,0,0,0,0
earthquake,local floor 12,303,21024,21024,349.5,405.2,33.79,11069.0,53423.7,0,761,0,5216,105,2,407.8,3032.8,3214.5,460.2,481.7,3053.2,35845.0,53796.3,39243.4,0,0,0,0,0
earthquake,local floor 12,404,21127,21127,353.1,415.9,34.68,11745.9,55948.9,0,757,0,5401,151,4,544.7,3254.3,3352.8,1021.4,457.4,3082.0,43948.7,56541.0,41500.2,0,0,0,0,0
