day,local coldstart,cloud coldstart,seed,sla_breaches,sla_breaches_as_submitted,cloud_hours,local_hours,drained_hours,mean_wait_s,p95_wait_s,jobs_reprioritised,overload_decisions,accepted_breach_cycles,events,exposing_events,exposing_high_events,ttl_exposing_mean_s,ttl_exposing_p95_s,ttl_exposing_max_s,ttl_exposing_high_mean_s,ttl_all_mean_s,ttl_all_p95_s,ttp_exposing_mean_s,ttp_exposing_p95_s,ttp_all_mean_s,exposing_ever_decayed,exposing_promoted,decayed_events,promoted_events,harmless_kept_events
workday,local 5 min,cloud 3 min,101,37,37,58.8,274.7,24.07,437.1,3007.9,0,0,0,2242,58,0,52.7,196.7,248.6,,49.4,146.5,1219.6,3471.2,1541.7,0,0,0,0,0
workday,local 5 min,cloud 3 min,202,37,37,57.4,274.4,24.0,366.5,2284.5,0,2,0,2165,54,0,44.1,129.5,136.2,,48.1,140.0,1284.4,2961.2,1257.4,0,0,0,0,0
workday,local 5 min,cloud 3 min,303,38,38,59.5,273.1,24.01,1130.3,8130.3,0,0,0,2206,70,0,41.6,126.0,142.7,,48.6,149.3,3990.9,8719.1,4043.2,0,0,0,0,0
workday,local 5 min,cloud 3 min,404,44,44,61.4,274.1,24.0,556.6,4227.3,0,0,0,2212,55,0,45.8,125.5,199.2,,51.2,142.5,2085.3,5020.4,1965.5,0,0,0,0,0
workday,local 5 min,cloud 10 min,101,564,564,70.0,274.9,24.08,220.3,1007.2,0,332,0,2242,58,0,64.4,290.8,324.1,,60.2,207.9,758.0,1595.8,676.9,0,0,0,0,0
workday,local 5 min,cloud 10 min,202,361,361,37.0,278.1,24.29,1349.2,9461.8,0,219,0,2165,54,0,53.6,151.2,249.7,,59.2,198.8,5041.9,10665.8,4835.6,0,0,0,0,0
workday,local 5 min,cloud 10 min,303,629,629,61.4,273.4,24.01,320.8,1831.4,0,272,0,2206,70,0,57.4,179.2,327.9,,59.4,196.0,1021.7,2702.8,1030.6,0,0,0,0,0
workday,local 5 min,cloud 10 min,404,900,900,67.2,274.5,24.0,241.7,1090.8,0,292,0,2212,55,0,57.5,214.2,266.8,,59.2,182.2,561.0,1356.9,760.6,0,0,0,0,0
rock burst,local 0 s,cloud 1 min,101,6087,6087,132.1,301.0,44.75,6167.4,28387.3,0,200,0,2986,57,0,52.9,136.6,524.7,,125.8,962.3,20551.0,50861,22636.2,0,0,0,0,0
rock burst,local 0 s,cloud 1 min,202,5786,5786,142.0,303.0,45.75,5816.3,26068.6,0,192,0,3086,75,0,94.1,494.3,1239.4,,112.3,866.1,24423.7,70352.2,21267.9,0,0,0,0,0
rock burst,local 0 s,cloud 1 min,303,5632,5632,148.3,300.8,41.2,5014.8,25175.1,0,182,0,3103,76,1,81.5,565.9,931.4,931.4,114.5,815.4,16654.1,53032.5,18314.3,0,0,0,0,0
rock burst,local 0 s,cloud 1 min,404,5391,5391,134.9,301.9,42.42,5495.5,25946.4,0,178,0,3001,63,0,63.1,160.2,471.0,,109.3,795.2,18456.9,44246.8,20042.3,0,0,0,0,0
rock burst,local 0 s,cloud 3 min,101,6843,6843,125.8,306.3,48.07,7716.8,45350.2,0,210,0,2986,57,0,61.0,151.0,704.7,,144.4,1079.4,26692.6,70031,28336.8,0,0,0,0,0
rock burst,local 0 s,cloud 3 min,202,6635,6635,134.1,309.6,47.85,7618.1,48367.1,0,204,0,3086,75,0,104.5,659.3,1344.4,,128.8,986.4,32294.3,86556.9,27868.6,0,0,0,0,0
rock burst,local 0 s,cloud 3 min,303,6008,6008,145.4,306.4,46.77,6348.4,29248.2,0,195,0,3103,76,1,94.7,685.9,1051.4,1051.4,131.8,940.0,21032.2,73087.5,23222.0,0,0,0,0,0
rock burst,local 0 s,cloud 3 min,404,5834,5834,127.5,308.1,48.0,7189.3,37942.9,0,189,0,3001,63,0,69.8,177.7,576.0,,124.5,903.8,24020.7,66626.8,26292.3,0,0,0,0,0
rock burst,local 0 s,cloud 10 min,101,7869,7869,128.5,301.1,44.79,5951.7,27768.9,0,518,0,2986,57,0,85.8,347.0,1169.7,,214.7,1510.1,19287.1,50981,21526.8,0,0,0,0,0
rock burst,local 0 s,cloud 10 min,202,7487,7487,141.0,299.3,41.95,4749.5,22577.8,0,584,0,3086,75,0,141.1,1139.3,1734.4,,185.3,1371.5,19798.9,56687.2,17039.6,0,0,0,0,0
rock burst,local 0 s,cloud 10 min,303,7462,7462,149.5,296.1,36.4,3688.5,19585.8,0,548,0,3103,76,1,139.7,1090.9,1441.4,1441.4,190.5,1334.3,12004.7,35767.5,13112.1,0,0,0,0,0
