notice,intent,seed,sla_breaches,sla_breaches_as_submitted,cloud_hours,local_hours,drained_hours,mean_wait_s,p95_wait_s,jobs_reprioritised,overload_decisions,accepted_breach_cycles,events,exposing_events,exposing_high_events,ttl_exposing_mean_s,ttl_exposing_p95_s,ttl_exposing_max_s,ttl_exposing_high_mean_s,ttl_all_mean_s,ttl_all_p95_s,ttp_exposing_mean_s,ttp_exposing_p95_s,ttp_all_mean_s,exposing_ever_decayed,exposing_promoted,decayed_events,promoted_events,harmless_kept_events,encounter.decisions,encounter.in_time_share,encounter.never,encounter.unwinnable,encounter.latency_p50_s,encounter.slack_p50_s,encounter warned.decisions,encounter warned.in_time_share,encounter warned.never,encounter warned.unwinnable,encounter warned.latency_p50_s,encounter warned.slack_p50_s,encounter reroute.decisions,encounter reroute.in_time_share,encounter reroute.never,encounter reroute.unwinnable,encounter reroute.latency_p50_s,encounter reroute.slack_p50_s,the day's own.decisions,the day's own.in_time_share,the day's own.never,the day's own.unwinnable,the day's own.latency_p50_s,the day's own.slack_p50_s
60 s,decay,101,1494,4204,48.2,280.7,24.06,1178.6,9427.5,11979,0,101,2282,98,6,45.9,113.6,204.1,35.8,41.6,91.9,546.5,1062.6,2629.4,8,0,1609,0,583,40,0.2,0,0,39.443,4.210321422,40,0.125,1,0,54.476,4.210321422,40,0,0,34,39.443,,753,0.9482071713147411,0,14,35.887,758.589758754
60 s,decay,202,1333,3662,43.2,279.9,24.0,920.8,6375.5,11211,0,110,2205,94,8,42.1,91.2,158.4,40.7,41.1,91.2,536.3,843.7,2108.8,5,0,1543,0,573,40,0.3,0,0,38.039,5.949982237,40,0.2,1,0,48.447,5.363750337,40,0,0,34,38.039,,696,0.9525862068965517,0,14,34.482,764.033124391
60 s,decay,303,1581,3942,48.1,280.7,24.05,1716.3,16283.1,11719,0,125,2246,110,1,39.3,102.9,127.7,21.0,40.9,97.5,1245.2,4345.9,3720.0,10,0,1581,0,565,40,0.4,0,0,35.091,8.048975133,40,0.175,0,0,70.122,8.983420895,40,0,0,34,35.091,,751,0.9241011984021305,0,21,34.966,724.584160936
60 s,decay,404,1538,3813,49.8,278.9,24.0,1233.7,9894.9,11664,0,122,2252,95,6,41.7,93.8,174.8,54.9,41.7,98.0,720.8,1411.1,2707.3,8,0,1575,0,590,40,0.35,0,0,36.372,4.956016989,40,0.225,2,0,42.86,7.582508424,40,0,0,34,36.372,,741,0.9284750337381916,0,26,35.858,792.719532906
60 s,"decay, oracle",101,2661,13280,40.2,285.1,24.51,2015.8,8402.0,25732,0,223,2282,98,6,35.2,62.1,99.1,28.3,739.5,5956.3,120.9,294.2,2978.4,0,0,2092,0,92,40,0.475,0,0,30.11,6.07846009,40,0.25,1,0,42.137,5.677705764,40,0,0,34,30.11,,753,0.953519256308101,0,14,31.389,661.107247797
60 s,"decay, oracle",202,2453,12056,34.1,282.9,24.27,1828.1,7532.6,24866,0,223,2205,94,8,33.3,68.4,90.0,35.0,635.0,5629.8,116.6,299.8,2731.6,0,0,2022,0,89,40,0.375,0,0,33.447,6.373888988,40,0.175,1,0,41.396,5.363750337,40,0,0,34,33.447,,696,0.9554597701149425,0,14,30.874,657.743898231
60 s,"decay, oracle",303,3037,12104,38.9,286.1,24.61,2549.4,10572.5,24824,0,301,2246,110,1,31.5,52.7,115.1,21.0,922.0,8520.8,129.0,325.1,3759.4,0,0,2040,0,96,40,0.525,0,0,29.134,8.983420895,40,0.325,0,0,32.627,9.597611249,40,0,0,34,29.134,,751,0.9280958721704394,0,21,31.408,656.786537932
60 s,"decay, oracle",404,2777,12359,40.4,280.6,24.06,2180.6,9154.9,25163,0,234,2252,95,6,32.7,66.8,124.2,42.4,762.4,6992.1,125.5,279.8,3215.2,0,0,2060,0,97,40,0.55,0,0,27.187,7.258129907,40,0.375,2,0,34.651,8.423506872,40,0.025,0,34,27.187,2.8,741,0.9392712550607287,0,26,29.655,709.876509613
120 s,off,101,33,33,55.9,279.1,24.05,632.1,4508.7,0,0,0,2282,98,11,50.1,157.6,248.6,40.6,48.8,139.8,2025.0,5369.7,2271.4,0,0,0,0,0,40,0.9,0,0,38.085,52.617766766,40,0.55,0,0,64.373,51.915558964,40,0.3,0,21,38.085,19.9,753,0.9428950863213812,0,14,36.24,758.589758754
120 s,off,202,14,14,53.6,278.3,24.0,353.7,2245.4,0,2,0,2205,94,5,44.8,129.5,160.7,72.8,47.4,138.1,1145.2,2684.8,1217.2,0,0,0,0,0,40,0.925,0,0,35.375,55.514876123,40,0.625,0,0,59.05,57.727080414,40,0.325,0,20,35.375,32.4,696,0.9482758620689655,0,14,34.77,766.724782604
